time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go
0.002595,-0.064585,-0.100110,-0.010325,-0.005400,-0.003737,20.000000,10.400000,0.000000,1.000000,22.645968,20.000000,15.480751,5.080751
0.049092,-0.066350,-0.099528,-0.009999,-0.006241,-0.003355,20.000000,10.450000,0.000000,1.000000,22.670486,20.000000,15.537987,5.087987
0.099468,-0.067542,-0.099039,-0.009913,-0.006799,-0.002964,20.000000,10.500000,0.000000,1.000000,22.694622,20.000000,15.595150,5.095150
0.149303,-0.069253,-0.098130,-0.009976,-0.007473,-0.002173,20.000000,10.550000,0.000000,1.000000,22.719101,20.000000,15.652364,5.102364
0.199444,-0.070525,-0.097314,-0.010046,-0.008023,-0.001405,20.000000,10.600000,0.000000,1.000000,22.743317,20.000000,15.709529,5.109529
0.249264,-0.072623,-0.095918,-0.010209,-0.008960,-0.000201,20.000000,10.650000,0.000000,1.000000,22.768069,20.000000,15.766778,5.116778
0.299558,-0.073911,-0.095093,-0.010467,-0.009532,0.000617,20.000000,10.700000,0.000000,1.000000,22.792453,20.000000,15.823978,5.123978
0.349209,-0.075612,-0.094136,-0.010977,-0.010145,0.001639,20.000000,10.750000,0.000000,1.000000,22.817219,20.000000,15.881250,5.131250
0.399474,-0.076733,-0.093568,-0.011411,-0.010532,0.002340,20.000000,10.800000,0.000000,1.000000,22.841739,20.000000,15.938491,5.138491
0.449460,-0.078461,-0.092840,-0.012086,-0.011214,0.003074,20.000000,10.850000,0.000000,1.000000,22.866796,20.000000,15.995833,5.145833
0.499463,-0.079493,-0.092518,-0.012485,-0.011452,0.003423,20.000000,10.900000,0.000000,1.000000,22.891516,20.000000,16.053127,5.153127
0.549250,-0.080834,-0.092139,-0.013088,-0.012007,0.003838,20.000000,10.950000,0.000000,1.000000,22.916560,20.000000,16.110484,5.160484
0.599254,-0.081673,-0.091896,-0.013475,-0.012227,0.004142,20.000000,11.000000,0.000000,1.000000,22.941311,20.000000,16.167788,5.167788
0.649362,-0.082819,-0.091562,-0.014022,-0.012339,0.004750,20.000000,11.050000,0.000000,1.000000,22.966367,20.000000,16.225151,5.175151
0.699373,-0.083391,-0.091328,-0.014385,-0.012295,0.005098,20.000000,11.100000,0.000000,1.000000,22.991051,20.000000,16.282443,5.182443
0.749083,-0.083997,-0.090975,-0.015006,-0.012176,0.005569,20.000000,11.150000,0.000000,1.000000,23.015787,20.000000,16.339741,5.189741
0.799267,-0.084252,-0.090714,-0.015402,-0.012060,0.005713,20.000000,11.200000,0.000000,1.000000,23.040343,20.000000,16.397007,5.197007
0.849187,-0.084271,-0.090389,-0.015929,-0.009964,0.006559,20.000000,11.250000,0.000000,1.000000,23.064743,20.000000,16.454239,5.204239
0.899378,-0.083856,-0.090171,-0.016339,-0.000742,0.010002,20.000000,11.300000,0.000000,1.000000,23.088900,20.000000,16.511427,5.211427
0.949303,-0.082277,-0.089378,-0.017467,0.020976,0.021863,20.000000,11.350000,0.000000,1.000000,23.111841,20.000000,16.568343,5.218343
0.999710,-0.080196,-0.088187,-0.018952,0.040453,0.037570,20.000000,11.400000,0.000000,1.000000,23.134232,20.000000,16.625128,5.225128
1.049203,-0.074543,-0.084413,-0.023070,0.079677,0.073900,20.000000,11.450000,0.000000,1.000000,23.152321,20.000000,16.680922,5.230922
1.099413,-0.069241,-0.080447,-0.027012,0.111411,0.103637,20.000000,11.500000,0.000000,1.000000,23.170697,20.000000,16.736767,5.236767
1.149602,-0.058826,-0.072221,-0.034476,0.167862,0.154165,20.000000,11.550000,0.000000,1.000000,23.182591,20.000000,16.791099,5.241099
1.199464,-0.048907,-0.064244,-0.041241,0.217596,0.189430,20.000000,11.600000,0.000000,1.000000,23.195113,20.000000,16.845572,5.245572
1.249114,-0.027331,-0.047646,-0.055680,0.330380,0.266272,20.000000,11.650000,0.000000,1.000000,23.193294,20.000000,16.896736,5.246736
1.299405,-0.009171,-0.033992,-0.067497,0.421470,0.332978,20.000000,11.700000,0.000000,1.000000,23.195980,20.000000,16.948952,5.248952
1.349171,0.023823,-0.009265,-0.088343,0.571040,0.446253,20.000000,11.750000,0.000000,1.000000,23.180336,20.000000,16.996936,5.246936
1.399230,0.053516,0.013026,-0.106595,0.689923,0.538132,20.000000,11.800000,0.000000,1.000000,23.168836,20.000000,17.045875,5.245875
1.449227,0.113254,0.058070,-0.142423,0.894912,0.699024,20.000000,11.850000,0.000000,1.000000,23.119954,20.000000,17.086179,5.236179
1.499225,0.158167,0.092088,-0.169139,1.028612,0.805333,20.000000,11.900000,0.000000,1.000000,23.089502,20.000000,17.130731,5.230731
1.549261,0.231851,0.147990,-0.212621,1.219773,0.958722,20.000000,11.950000,0.000000,1.000000,23.023188,20.000000,17.166997,5.216997
1.599240,0.291838,0.193645,-0.248139,1.357029,1.069802,20.000000,12.000000,0.000000,1.000000,22.973935,20.000000,17.207198,5.207198
1.649197,0.400901,0.276922,-0.313323,1.575428,1.247972,20.000000,12.050000,0.000000,1.000000,22.863291,20.000000,17.233204,5.183204
1.699365,0.477124,0.335209,-0.359501,1.710227,1.358671,20.000000,12.100000,0.000000,1.000000,22.793705,20.000000,17.268697,5.168697
1.749379,0.593340,0.424205,-0.431139,1.895096,1.511161,20.000000,12.150000,0.000000,1.000000,22.674054,20.000000,17.292613,5.142613
1.799271,0.683011,0.492920,-0.487314,2.024149,1.617867,20.000000,12.200000,0.000000,1.000000,22.587647,20.000000,17.324211,5.124211
1.849138,0.837875,0.611472,-0.586024,2.225090,1.784301,20.000000,12.250000,0.000000,1.000000,22.419687,20.000000,17.336960,5.086960
1.899513,0.941577,0.690796,-0.653275,2.346899,1.885525,20.000000,12.300000,0.000000,1.000000,22.315849,20.000000,17.364531,5.064531
1.949261,1.094714,0.808259,-0.754402,2.512281,2.023303,20.000000,12.350000,0.000000,1.000000,22.149980,20.000000,17.377755,5.027755
2.000322,1.209445,0.896544,-0.831574,2.626581,2.118876,20.000000,12.400000,0.000000,1.000000,22.032124,20.000000,17.402069,5.002069
2.049317,1.401500,1.044843,-0.963373,2.802918,2.266934,20.000000,12.450000,0.000000,1.000000,21.817007,20.000000,17.403876,4.953876
2.099388,1.526740,1.141781,-1.051054,2.908797,2.356333,20.000000,12.500000,0.000000,1.000000,21.685721,20.000000,17.425065,4.925065
2.149349,1.708147,1.282674,-1.180093,3.048964,2.474944,20.000000,12.550000,0.000000,1.000000,21.483587,20.000000,17.429849,4.879849
2.199303,1.841793,1.386825,-1.276218,3.142631,2.554622,20.000000,12.600000,0.000000,1.000000,21.341410,20.000000,17.448496,4.848496
2.249355,2.061884,1.558903,-1.434996,3.283018,2.674853,20.000000,12.650000,0.000000,1.000000,21.090008,20.000000,17.441842,4.791842
2.299233,2.203169,1.669516,-1.536682,3.366433,2.746795,20.000000,12.700000,0.000000,1.000000,20.937974,20.000000,17.458191,4.758191
2.349200,2.405446,1.828233,-1.681344,3.479449,2.844959,20.000000,12.750000,0.000000,1.000000,20.708774,20.000000,17.456659,4.706659
2.399353,2.553124,1.944210,-1.785964,3.558425,2.913812,20.000000,12.800000,0.000000,1.000000,20.548520,20.000000,17.471092,4.671092
2.449349,2.794803,2.134489,-1.954972,3.683102,3.023420,20.000000,12.850000,0.000000,1.000000,20.269212,20.000000,17.457936,4.607936
2.499310,2.949266,2.256320,-2.061492,3.760558,3.092019,20.000000,12.900000,0.000000,1.000000,20.100136,20.000000,17.470308,4.570308
2.549358,3.169715,2.430724,-2.211144,3.865607,3.185822,20.000000,12.950000,0.000000,1.000000,19.847258,20.000000,17.463248,4.513248
2.599387,3.330239,2.557827,-2.317578,3.936569,3.249136,20.000000,13.000000,0.000000,1.000000,19.670280,20.000000,17.473774,4.473774
2.649292,3.592133,2.765366,-2.484901,4.044197,3.345206,20.000000,13.050000,0.000000,1.000000,19.364705,20.000000,17.454491,4.404491
2.699189,3.758873,2.897638,-2.586468,4.108876,3.403203,20.000000,13.100000,0.000000,1.000000,19.179740,20.000000,17.463158,4.363158
2.749100,3.995996,3.086034,-2.723505,4.197442,3.483046,20.000000,13.150000,0.000000,1.000000,18.905331,20.000000,17.451082,4.301082
2.799466,4.167878,3.222996,-2.817244,4.259928,3.539832,20.000000,13.200000,0.000000,1.000000,18.713543,20.000000,17.458148,4.258148
2.849350,4.447179,3.446393,-2.959364,4.359873,3.632066,20.000000,13.250000,0.000000,1.000000,18.384803,20.000000,17.433432,4.183432
2.899366,4.624546,3.588747,-3.043052,4.422892,3.690927,20.000000,13.300000,0.000000,1.000000,18.185517,20.000000,17.438727,4.138727
2.949041,4.876674,3.791871,-3.153558,4.512578,3.775874,20.000000,13.350000,0.000000,1.000000,17.890579,20.000000,17.421806,4.071806
3.000485,5.059777,3.939775,-3.227666,4.578242,3.838528,20.000000,13.400000,0.000000,1.000000,17.683498,20.000000,17.425263,4.025263
3.049325,5.358309,4.181814,-3.338478,4.686434,3.943447,20.000000,13.450000,0.000000,1.000000,17.328542,20.000000,17.394366,3.944366
3.099421,5.548372,4.336594,-3.403169,4.756600,4.011917,20.000000,13.500000,0.000000,1.000000,17.111913,20.000000,17.395569,3.895569
3.149362,5.819068,4.558032,-3.488141,4.857984,4.111894,20.000000,13.550000,0.000000,1.000000,16.791496,20.000000,17.372632,3.822632
3.199412,6.015851,4.719812,-3.545103,4.932672,4.186451,20.000000,13.600000,0.000000,1.000000,16.565450,20.000000,17.371600,3.771600
3.249453,6.337023,4.985548,-3.630406,5.056583,4.311550,20.000000,13.650000,0.000000,1.000000,16.178680,20.000000,17.333152,3.683152
3.299445,6.541814,5.156186,-3.680423,5.136839,4.393427,20.000000,13.700000,0.000000,1.000000,15.941127,20.000000,17.329376,3.629376
3.349376,6.833881,5.401082,-3.746762,5.252875,4.512926,20.000000,13.750000,0.000000,1.000000,15.590097,20.000000,17.299144,3.549144
3.399277,7.046535,5.580305,-3.791657,5.338609,4.601571,20.000000,13.800000,0.000000,1.000000,15.341305,20.000000,17.292691,3.492691
