time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go
0.000808,-0.069424,-0.141132,-0.042918,-0.002778,-0.006451,20.000000,9.550000,0.000000,1.000000,22.286763,20.000000,9.550000,0.000000
0.049572,-0.069091,-0.140240,-0.042217,-0.002338,-0.005572,20.000000,9.600000,0.000000,1.000000,22.307862,20.000000,9.600000,0.000000
0.099513,-0.068636,-0.138789,-0.040958,-0.001892,-0.004253,20.000000,9.650000,0.000000,1.000000,22.328693,20.000000,9.650000,0.000000
0.149569,-0.068413,-0.137848,-0.040188,-0.001561,-0.003492,20.000000,9.700000,0.000000,1.000000,22.350043,20.000000,9.700000,0.000000
0.199493,-0.068056,-0.136545,-0.039073,-0.001154,-0.002369,20.000000,9.750000,0.000000,1.000000,22.371201,20.000000,9.750000,0.000000
0.249636,-0.067728,-0.135689,-0.038247,-0.000618,-0.001514,20.000000,9.800000,0.000000,1.000000,22.392668,20.000000,9.800000,0.000000
0.299530,-0.067148,-0.134509,-0.037078,0.000039,-0.000767,20.000000,9.850000,0.000000,1.000000,22.413854,20.000000,9.850000,0.000000
0.349329,-0.066782,-0.133866,-0.036496,0.000220,-0.000304,20.000000,9.900000,0.000000,1.000000,22.435557,20.000000,9.900000,0.000000
0.399559,-0.066329,-0.132977,-0.035889,0.000544,0.000371,20.000000,9.950000,0.000000,1.000000,22.457159,20.000000,9.950000,0.000000
0.449336,-0.066080,-0.132347,-0.035615,0.000668,0.000779,20.000000,10.000000,0.000000,1.000000,22.479147,20.000000,10.000000,0.000000
0.499512,-0.065724,-0.131435,-0.035241,0.000839,0.001542,20.000000,10.050000,0.000000,1.000000,22.500997,20.000000,10.050000,0.000000
0.549508,-0.065545,-0.130963,-0.035158,0.000862,0.001658,20.000000,10.100000,0.000000,1.000000,22.523292,20.000000,10.100000,0.000000
0.599508,-0.065359,-0.130440,-0.035245,0.001038,0.001951,20.000000,10.150000,0.000000,1.000000,22.545644,20.000000,10.150000,0.000000
0.649542,-0.065157,-0.130034,-0.035394,0.001210,0.002238,20.000000,10.200000,0.000000,1.000000,22.568122,20.000000,10.200000,0.000000
0.699392,-0.064710,-0.129304,-0.035639,0.001570,0.002818,20.000000,10.250000,0.000000,1.000000,22.590320,20.000000,10.250000,0.000000
0.749494,-0.064331,-0.128871,-0.035734,0.001812,0.002912,20.000000,10.300000,0.000000,1.000000,22.612800,20.000000,10.300000,0.000000
0.799567,-0.063591,-0.128294,-0.035774,0.002251,0.003294,20.000000,10.350000,0.000000,1.000000,22.634980,20.000000,10.350000,0.000000
0.849503,-0.062856,-0.127910,-0.035743,0.003458,0.003758,20.000000,10.400000,0.000000,1.000000,22.657340,20.000000,10.400000,0.000000
0.899438,-0.060926,-0.127190,-0.035881,0.018801,0.010239,20.000000,10.450000,0.000000,1.000000,22.678573,20.000000,10.450000,0.000000
0.949440,-0.058841,-0.126469,-0.036317,0.036952,0.018039,20.000000,10.500000,0.000000,1.000000,22.699757,20.000000,10.500000,0.000000
0.999884,-0.054089,-0.124911,-0.037696,0.072883,0.033721,20.000000,10.550000,0.000000,1.000000,22.718279,20.000000,10.550000,0.000000
1.049727,-0.049096,-0.123240,-0.039486,0.105819,0.048052,20.000000,10.600000,0.000000,1.000000,22.736625,20.000000,10.600000,0.000000
1.099569,-0.037720,-0.119164,-0.043963,0.171143,0.077389,20.000000,10.650000,0.000000,1.000000,22.748300,20.000000,10.650000,0.000000
1.149635,-0.028150,-0.115385,-0.047947,0.217718,0.103623,20.000000,10.700000,0.000000,1.000000,22.761796,20.000000,10.700000,0.000000
1.199484,-0.011106,-0.108095,-0.055727,0.295255,0.140154,20.000000,10.750000,0.000000,1.000000,22.767139,20.000000,10.750000,0.000000
1.249357,0.004390,-0.101274,-0.063484,0.373138,0.177702,20.000000,10.800000,0.000000,1.000000,22.774156,20.000000,10.800000,0.000000
1.299571,0.037177,-0.086299,-0.080670,0.535517,0.258896,20.000000,10.850000,0.000000,1.000000,22.762182,20.000000,10.850000,0.000000
1.349426,0.063954,-0.073760,-0.094844,0.656635,0.320700,20.000000,10.900000,0.000000,1.000000,22.756743,20.000000,10.900000,0.000000
1.399388,0.111359,-0.051277,-0.119817,0.845145,0.418072,20.000000,10.950000,0.000000,1.000000,22.728532,20.000000,10.950000,0.000000
1.449489,0.152884,-0.031420,-0.141592,0.989510,0.493037,20.000000,11.000000,0.000000,1.000000,22.706832,20.000000,11.000000,0.000000
1.499338,0.233731,0.007450,-0.183873,1.231421,0.618897,20.000000,11.050000,0.000000,1.000000,22.641628,20.000000,11.050000,0.000000
1.549619,0.293315,0.036235,-0.215125,1.385937,0.699671,20.000000,11.100000,0.000000,1.000000,22.600007,20.000000,11.100000,0.000000
1.599406,0.388198,0.082236,-0.265383,1.602905,0.813671,20.000000,11.150000,0.000000,1.000000,22.519285,20.000000,11.150000,0.000000
1.649336,0.464209,0.119086,-0.306155,1.757437,0.894841,20.000000,11.200000,0.000000,1.000000,22.459603,20.000000,11.200000,0.000000
1.699335,0.599980,0.185025,-0.379957,2.001177,1.023315,20.000000,11.250000,0.000000,1.000000,22.333707,20.000000,11.250000,0.000000
1.749296,0.693434,0.230465,-0.431462,2.150467,1.102032,20.000000,11.300000,0.000000,1.000000,22.254844,20.000000,11.300000,0.000000
1.799380,0.835234,0.299527,-0.510744,2.355175,1.210491,20.000000,11.350000,0.000000,1.000000,22.122414,20.000000,11.350000,0.000000
1.849358,0.943407,0.352512,-0.572207,2.497161,1.286088,20.000000,11.400000,0.000000,1.000000,22.027273,20.000000,11.400000,0.000000
1.899421,1.128393,0.443494,-0.679492,2.717254,1.403823,20.000000,11.450000,0.000000,1.000000,21.846756,20.000000,11.450000,0.000000
1.949373,1.251049,0.504081,-0.752023,2.850238,1.475646,20.000000,11.500000,0.000000,1.000000,21.735533,20.000000,11.500000,0.000000
1.999972,1.431939,0.593793,-0.860629,3.031083,1.573801,20.000000,11.550000,0.000000,1.000000,21.559484,20.000000,11.550000,0.000000
2.049551,1.567138,0.661185,-0.943042,3.155962,1.642325,20.000000,11.600000,0.000000,1.000000,21.434273,20.000000,11.600000,0.000000
2.099505,1.793182,0.774638,-1.083319,3.348404,1.749417,20.000000,11.650000,0.000000,1.000000,21.207586,20.000000,11.650000,0.000000
2.149499,1.939908,0.848834,-1.175876,3.461619,1.813330,20.000000,11.700000,0.000000,1.000000,21.069284,20.000000,11.700000,0.000000
