time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode
0.000000,19.975368,91.335068,-4.998307,0.046823,0.988967,20.000000,99.324521,0.000000,1.000000,9.424173,20.000000,104.322827,4.998307,-0.000705,0.000000,0.000000,7.989491,4.998307,0.000000,0.036947,0.983150,-0.001693,-0.087719,-0.167821,-0.003519,0.037260,-0.014249,-0.000911,0
0.050000,19.977566,91.374756,-4.998120,0.048171,0.988639,20.000000,99.373387,0.000000,1.000000,9.431851,20.000000,104.371508,4.998120,-0.000646,0.000000,0.000000,7.998663,4.998120,0.000000,0.031930,1.233100,0.098307,-0.100336,4.998993,2.000000,0.030985,-0.010353,0.001458,0
0.100000,19.981138,91.438202,-4.997586,0.049522,0.988130,20.000000,99.423891,0.000000,1.000000,9.420587,20.000000,104.421477,4.997586,0.007744,0.000000,0.000000,7.985711,4.997586,0.000000,0.026774,1.483046,0.198307,-0.103129,4.998936,2.000000,0.018868,-0.011735,0.323206,0
0.150000,19.983421,91.477760,-4.996473,0.050025,0.987844,20.000000,99.473686,0.000000,1.000000,9.428672,20.000000,104.470159,4.996473,0.029989,0.000000,0.000000,7.995943,4.996473,0.000000,0.021527,1.732991,0.298307,-0.104947,4.998898,2.000000,0.011052,-0.006109,0.612242,0
0.200000,19.986763,91.533150,-4.992640,0.050281,0.989860,20.000000,99.523762,0.000000,1.000000,9.422129,20.000000,104.516402,4.992640,0.084364,0.000000,0.000000,7.990624,4.992640,0.000000,0.016088,1.982932,0.398307,-0.108768,4.998817,2.000000,0.001163,0.065934,1.137882,0
0.250000,19.989258,91.572830,-4.987780,0.050298,0.995122,20.000000,99.573930,0.000000,1.000000,9.428449,20.000000,104.561710,4.987780,0.134446,0.000000,0.000000,8.001107,4.987780,0.000000,0.010482,2.232869,0.498307,-0.112129,4.998743,2.000000,0.000351,0.166599,1.310381,0
0.300000,19.993437,91.637077,-4.974971,0.049909,1.014324,20.000000,99.623793,0.000000,1.000000,9.409464,20.000000,104.598764,4.974971,0.229353,0.000000,0.000000,7.986718,4.974971,0.000000,0.004334,2.482794,0.598307,-0.122947,4.998488,2.000000,-0.010252,0.377347,1.566624,0
0.350000,19.996151,91.678223,-4.963423,0.049543,1.035223,20.000000,99.673780,0.000000,1.000000,9.410872,20.000000,104.637203,4.963423,0.293169,0.000000,0.000000,7.995558,4.963423,0.000000,0.000775,2.610896,0.698307,-0.071180,2.562042,2.000000,-0.009369,0.558451,1.624664,0
0.400000,20.000000,91.737755,-4.942526,0.048874,1.077570,20.000000,99.723918,0.000000,1.000000,9.391877,20.000000,104.666444,4.942526,0.385303,0.000000,0.000000,7.986163,4.942526,0.000000,0.000000,2.615806,0.798307,-0.015510,0.098203,2.000000,-0.017516,0.851780,1.702057,0
0.450000,20.002687,91.782127,-4.924124,0.048063,1.117493,20.000000,99.773881,0.000000,1.000000,9.386966,20.000000,104.698005,4.924124,0.455112,0.000000,0.000000,7.991754,4.924124,0.000000,-0.000546,2.622980,0.898307,-0.010915,0.143478,2.000000,-0.019985,1.052864,1.790600,0
0.500000,20.006762,91.857185,-4.887979,0.046203,1.195582,20.000000,99.823677,0.000000,1.000000,9.346516,20.000000,104.711656,4.887979,0.581316,0.000000,0.000000,7.966494,4.887979,0.000000,-0.001383,2.629813,0.998307,-0.016751,0.136661,2.000000,-0.031543,1.294807,2.067866,0
0.550000,20.009073,91.907181,-4.860810,0.044723,1.251869,20.000000,99.873879,0.000000,1.000000,9.332515,20.000000,104.734688,4.860810,0.665921,0.000000,0.000000,7.966703,4.860810,0.000000,-0.001867,2.638965,1.000000,-0.009666,0.183044,0.033865,-0.039388,1.427601,2.153372,0
0.600000,20.012030,91.981781,-4.816637,0.042306,1.338667,20.000000,99.923591,0.000000,1.000000,9.288298,20.000000,104.740228,4.816637,0.780642,0.000000,0.000000,7.941819,4.816637,0.000000,-0.002498,2.648829,1.000000,-0.012618,0.197273,0.000000,-0.046797,1.635283,1.865968,0
0.650000,20.013979,92.038773,-4.781238,0.040238,1.408196,20.000000,99.973862,0.000000,1.000000,9.264236,20.000000,104.755099,4.781238,0.844545,0.000000,0.000000,7.935101,4.781238,0.000000,-0.002924,2.659631,1.000000,-0.008524,0.216039,0.000000,-0.055060,1.788244,1.484342,0
0.700000,20.016768,92.136734,-4.719952,0.036524,1.528675,20.000000,100.023773,0.000000,1.000000,9.191496,20.000000,104.743724,4.719952,0.919091,0.000000,0.000000,7.887056,4.719952,0.000000,-0.003552,2.671000,1.000000,-0.012575,0.227383,0.000000,-0.059782,1.924425,1.018529,0
0.750000,20.018393,92.202606,-4.679532,0.034076,1.607275,20.000000,100.073810,0.000000,1.000000,9.157195,20.000000,104.753342,4.679532,0.952508,0.000000,0.000000,7.871226,4.679532,0.000000,-0.003930,2.682049,1.000000,-0.007559,0.220990,0.000000,-0.061514,1.973296,0.791195,0
0.800000,20.020535,92.300819,-4.621296,0.030775,1.717946,20.000000,100.123771,0.000000,1.000000,9.085999,20.000000,104.745067,4.621296,0.986667,0.000000,0.000000,7.822978,4.621296,0.000000,-0.004443,2.692805,1.000000,-0.010261,0.215103,0.000000,-0.056798,1.972988,0.523739,0
0.850000,20.021940,92.375328,-4.578892,0.028412,1.796121,20.000000,100.173816,0.000000,1.000000,9.043403,20.000000,104.752708,4.578892,1.003718,0.000000,0.000000,7.798519,4.578892,0.000000,-0.004792,2.703139,1.000000,-0.006963,0.206684,0.000000,-0.053131,1.948468,0.388730,0
0.900000,20.023888,92.501793,-4.510253,0.024890,1.917451,20.000000,100.223560,0.000000,1.000000,8.942519,20.000000,104.733814,4.510253,1.022083,0.000000,0.000000,7.721805,4.510253,0.000000,-0.005296,2.712047,1.000000,-0.010094,0.178173,0.000000,-0.056221,1.866415,0.238135,0
0.950000,20.024969,92.585037,-4.467113,0.022709,1.989707,20.000000,100.273843,0.000000,1.000000,8.892325,20.000000,104.740955,4.467113,1.029755,0.000000,0.000000,7.688846,4.467113,0.000000,-0.005590,2.721203,1.000000,-0.005865,0.183103,0.000000,-0.051583,1.793290,0.176951,0
1.000000,20.026501,92.706688,-4.406728,0.020144,2.085671,20.000000,100.323919,0.000000,1.000000,8.800123,20.000000,104.730647,4.406728,1.036199,0.000000,0.000000,7.617277,4.406728,0.000000,-0.006014,2.728546,1.000000,-0.008483,0.146861,0.000000,-0.041053,1.670301,0.091076,0
1.050000,20.027658,92.796906,-4.363823,0.018810,2.149956,20.000000,100.373847,0.000000,1.000000,8.743785,20.000000,104.737671,4.363823,1.038963,0.000000,0.000000,7.576992,4.363823,0.000000,-0.006338,2.736308,1.000000,-0.006489,0.155251,0.000000,-0.034472,1.579747,0.062190,0
1.100000,20.029812,92.946312,-4.295423,0.017600,2.244864,20.000000,100.423735,0.000000,1.000000,8.623421,20.000000,104.719158,4.295423,1.041165,0.000000,0.000000,7.477482,4.295423,0.000000,-0.006940,2.740788,1.000000,-0.012045,0.089606,0.000000,-0.013741,1.438171,0.021701,0
1.150000,20.031343,93.042526,-4.252916,0.017268,2.299320,20.000000,100.473847,0.000000,1.000000,8.562290,20.000000,104.726763,4.252916,1.041430,0.000000,0.000000,7.431387,4.252916,0.000000,-0.007370,2.747347,1.000000,-0.008590,0.131172,0.000000,-0.005958,1.342475,0.002970,0
1.200000,20.033680,93.180305,-4.193677,0.017165,2.368949,20.000000,100.523718,0.000000,1.000000,8.456581,20.000000,104.717395,4.193677,1.041158,0.000000,0.000000,7.343489,4.193677,0.000000,-0.008031,2.751068,1.000000,-0.013225,0.074414,0.000000,-0.002877,1.196831,-0.008769,0
1.250000,20.035479,93.280602,-4.151690,0.017374,2.414346,20.000000,100.574187,0.000000,1.000000,8.392507,20.000000,104.725877,4.151690,1.040760,0.000000,0.000000,7.293672,4.151690,0.000000,-0.008546,2.756775,1.000000,-0.010289,0.114148,0.000000,0.010932,1.105204,-0.011936,0
1.300000,20.038622,93.443756,-4.084950,0.018386,2.479582,20.000000,100.623749,0.000000,1.000000,8.260788,20.000000,104.708699,4.084950,1.039700,0.000000,0.000000,7.180097,4.084950,0.000000,-0.009455,2.757670,1.000000,-0.018182,0.017895,0.000000,0.016848,0.971725,-0.017673,0
1.350000,20.040686,93.547096,-4.043449,0.019091,2.515741,20.000000,100.673951,0.000000,1.000000,8.194095,20.000000,104.717400,4.043449,1.038947,0.000000,0.000000,7.126971,4.043449,0.000000,-0.010062,2.762568,1.000000,-0.012149,0.097968,0.000000,0.017530,0.887791,-0.018522,0
1.400000,20.043697,93.693352,-3.985486,0.019875,2.561211,20.000000,100.723764,0.000000,1.000000,8.081627,20.000000,104.709249,3.985486,1.038205,0.000000,0.000000,7.030548,3.985486,0.000000,-0.010964,2.764004,1.000000,-0.018040,0.028712,0.000000,0.011017,0.776172,-0.008427,0
1.450000,20.045837,93.798859,-3.944277,0.020221,2.590263,20.000000,100.773937,0.000000,1.000000,8.013186,20.000000,104.718215,3.944277,1.037885,0.000000,0.000000,6.975229,3.944277,0.000000,-0.011621,2.768405,1.000000,-0.013142,0.088019,0.000000,0.007981,0.703201,-0.009902,0
