time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase
0.022818,0.027167,-0.028329,-0.027081,0.009015,-0.009795,20.000000,21.197116,0.000000,1.000000,29.145057,20.000000,25.395979,4.198863,0.004417,0.000000,0.000000,29.145044,0.027081,0.000000,0.009015,-0.009795,0.004417,0.000000,0.000000,0.000000,0.015286,0.015682,0.006549,0,takeoff
0.072633,0.029512,-0.027136,-0.025578,0.010455,-0.009076,20.000000,21.247014,0.000000,1.000000,29.178939,20.000000,25.451210,4.204196,0.004926,0.000000,0.000000,29.178928,0.025578,0.000000,0.010455,-0.009076,0.004926,0.000000,0.000000,0.000000,0.023730,0.012579,0.009100,0,takeoff
0.122887,0.030903,-0.026411,-0.024661,0.011349,-0.008660,20.000000,21.296968,0.000000,1.000000,29.213900,20.000000,25.506648,4.209680,0.004985,0.000000,0.000000,29.213890,0.024661,0.000000,0.011349,-0.008660,0.004985,0.000000,0.000000,0.000000,0.023686,0.010025,0.000885,0,takeoff
0.172570,0.032615,-0.025353,-0.023277,0.012551,-0.007903,20.000000,21.346356,0.000000,1.000000,29.248025,20.000000,25.561393,4.215037,0.005424,0.000000,0.000000,29.248016,0.023277,0.000000,0.012551,-0.007903,0.005424,0.000000,0.000000,0.000000,0.021835,0.012382,0.004256,0,takeoff
0.222756,0.033662,-0.024589,-0.022350,0.013097,-0.007331,20.000000,21.396844,0.000000,1.000000,29.283664,20.000000,25.617463,4.220618,0.005775,0.000000,0.000000,29.283656,0.022350,0.000000,0.013097,-0.007331,0.005775,0.000000,0.000000,0.000000,0.012040,0.015934,0.012554,0,takeoff
0.272445,0.035079,-0.023167,-0.021025,0.014033,-0.006369,20.000000,21.446635,0.000000,1.000000,29.318098,20.000000,25.672652,4.226017,0.006289,0.000000,0.000000,29.318091,0.021025,0.000000,0.014033,-0.006369,0.006289,0.000000,0.000000,0.000000,0.015563,0.015098,0.004445,0,takeoff
0.322560,0.035871,-0.022237,-0.020230,0.014571,-0.005702,20.000000,21.496698,0.000000,1.000000,29.353559,20.000000,25.728262,4.231564,0.006487,0.000000,0.000000,29.353552,0.020230,0.000000,0.014571,-0.005702,0.006487,0.000000,0.000000,0.000000,0.013067,0.016771,0.007775,0,takeoff
0.372473,0.036977,-0.020802,-0.019238,0.015324,-0.004591,20.000000,21.546835,0.000000,1.000000,29.388528,20.000000,25.783874,4.237039,0.006878,0.000000,0.000000,29.388522,0.019238,0.000000,0.015324,-0.004591,0.006878,0.000000,0.000000,0.000000,0.016239,0.020791,0.002664,0,takeoff
0.422616,0.037793,-0.019740,-0.018731,0.015904,-0.003786,20.000000,21.596540,0.000000,1.000000,29.423691,20.000000,25.839077,4.242538,0.007088,0.000000,0.000000,29.423685,0.018731,0.000000,0.015904,-0.003786,0.007088,0.000000,0.000000,0.000000,0.011924,0.019674,0.003276,0,takeoff
0.472553,0.039112,-0.018261,-0.018180,0.016824,-0.002972,20.000000,21.646977,0.000000,1.000000,29.458783,20.000000,25.895010,4.248033,0.007187,0.000000,0.000000,29.458778,0.018180,0.000000,0.016824,-0.002972,0.007187,0.000000,0.000000,0.000000,0.013776,0.011670,0.001269,0,takeoff
0.523133,0.039878,-0.017467,-0.017906,0.017354,-0.002652,20.000000,21.697345,0.000000,1.000000,29.494743,20.000000,25.950998,4.253653,0.007044,0.000000,0.000000,29.494737,0.017906,0.000000,0.017354,-0.002652,0.007044,0.000000,0.000000,0.000000,0.011367,0.008779,-0.006120,0,takeoff
0.572720,0.040738,-0.016542,-0.017521,0.017887,-0.002226,20.000000,21.746886,0.000000,1.000000,29.529972,20.000000,26.006046,4.259161,0.006963,0.000000,0.000000,29.529967,0.017521,0.000000,0.017887,-0.002226,0.006963,0.000000,0.000000,0.000000,0.003620,0.012384,0.000378,0,takeoff
0.622827,0.041294,-0.016025,-0.017245,0.018269,-0.001966,20.000000,21.796899,0.000000,1.000000,29.566094,20.000000,26.061700,4.264801,0.006955,0.000000,0.000000,29.566089,0.017245,0.000000,0.018269,-0.001966,0.006955,0.000000,0.000000,0.000000,0.008997,0.006908,0.001603,0,takeoff
0.672586,0.042043,-0.015310,-0.016946,0.018956,-0.001812,20.000000,21.847024,0.000000,1.000000,29.602060,20.000000,26.117443,4.270419,0.007089,0.000000,0.000000,29.602055,0.016946,0.000000,0.018956,-0.001812,0.007089,0.000000,0.000000,0.000000,0.008192,0.002657,-0.001935,0,takeoff
0.722722,0.042319,-0.014895,-0.016666,0.019137,-0.001737,20.000000,21.896959,0.000000,1.000000,29.638467,20.000000,26.173056,4.276097,0.007195,0.000000,0.000000,29.638462,0.016666,0.000000,0.019137,-0.001737,0.007195,0.000000,0.000000,0.000000,0.004993,0.002573,0.002291,0,takeoff
0.772444,0.042418,-0.014420,-0.016310,0.018968,-0.001504,20.000000,21.946789,0.000000,1.000000,29.674906,20.000000,26.228565,4.281776,0.007097,0.000000,0.000000,29.674901,0.016310,0.000000,0.018968,-0.001504,0.007097,0.000000,0.000000,0.000000,-0.009255,0.000022,0.000516,0,takeoff
0.822482,0.042297,-0.014176,-0.016052,0.018597,-0.001289,20.000000,21.996941,0.000000,1.000000,29.711941,20.000000,26.284484,4.287543,0.007146,0.000000,0.000000,29.711937,0.016052,0.000000,0.018597,-0.001289,0.007146,0.000000,0.000000,0.000000,-0.004859,0.003108,0.001555,0,takeoff
0.872743,0.041760,-0.014071,-0.015503,0.018128,-0.001314,20.000000,22.047199,0.000000,1.000000,29.749474,20.000000,26.340579,4.293379,0.007334,0.000000,0.000000,29.749470,0.015503,0.000000,0.018128,-0.001314,0.007334,0.000000,0.000000,0.000000,-0.011569,-0.002463,0.000385,0,takeoff
0.922877,0.041216,-0.014167,-0.015240,0.017550,-0.001458,20.000000,22.097064,0.000000,1.000000,29.786907,20.000000,26.396264,4.299199,0.007426,0.000000,0.000000,29.786903,0.015240,0.000000,0.017550,-0.001458,0.007426,0.000000,0.000000,0.000000,-0.012522,-0.002760,0.003249,0,takeoff
0.972740,0.040298,-0.014451,-0.014934,0.016770,-0.001661,20.000000,22.146809,0.000000,1.000000,29.824677,20.000000,26.451874,4.305065,0.007349,0.000000,0.000000,29.824673,0.014934,0.000000,0.016770,-0.001661,0.007349,0.000000,0.000000,0.000000,-0.013922,-0.002744,0.001475,0,takeoff
1.022600,0.039574,-0.014704,-0.014719,0.016217,-0.001810,20.000000,22.196929,0.000000,1.000000,29.862610,20.000000,26.507887,4.310958,0.007419,0.000000,0.000000,29.862606,0.014719,0.000000,0.016217,-0.001810,0.007419,0.000000,0.000000,0.000000,-0.014680,-0.003983,-0.000430,0,takeoff
1.072763,0.038145,-0.015137,-0.014482,0.014901,-0.001982,20.000000,22.247187,0.000000,1.000000,29.901287,20.000000,26.564141,4.316954,0.007330,0.000000,0.000000,29.901283,0.014482,0.000000,0.014901,-0.001982,0.007330,0.000000,0.000000,0.000000,-0.018358,0.000642,-0.001874,0,takeoff
