measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,rejection_reason,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1789956404.4239254,1789956404.4555426,1789956404.4555426,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,UNKNOWN,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.4239254
0.0,1789956404.5260684,1789956404.5555563,1789956404.5555563,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.5260684
0.0,1789956404.6316216,1789956404.6556807,1789956404.6556807,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.6316216
0.0,1789956404.727752,1789956404.7556841,1789956404.7556841,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.727752
0.0,1789956404.8317294,1789956404.85558,1789956404.85558,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.8317294
0.0,1789956404.932585,1789956404.9555626,1789956404.9555626,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956404.932585
0.0,1789956405.0331488,1789956405.0555463,1789956405.0555463,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.0331488
0.0,1789956405.1267354,1789956405.1555123,1789956405.1555123,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.1267354
0.0,1789956405.2329063,1789956405.2555907,1789956405.2555907,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.2329063
0.0,1789956405.3273962,1789956405.3556197,1789956405.3556197,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.3273962
0.0,1789956405.3811593,1789956405.4556105,1789956405.4556105,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.3811593
0.0,1789956405.581576,1789956405.6555662,1789956405.6555662,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.581576
0.0,1789956405.7255523,1789956405.7556098,1789956405.7556098,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.7255523
0.0,1789956405.8323414,1789956405.8564014,1789956405.8564014,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.8323414
0.0,1789956405.927104,1789956405.9556346,1789956405.9556346,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.927104
0.0,1789956405.9836776,1789956406.0600712,1789956406.0600712,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956405.9836776
0.0,1789956406.1280432,1789956406.1558278,1789956406.1558278,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.1280432
0.0,1789956406.2413042,1789956406.2556024,1789956406.2556024,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.2413042
0.0,1789956406.329613,1789956406.355584,1789956406.355584,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.329613
0.0,1789956406.528226,1789956406.5555947,1789956406.5555947,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.528226
0.0,1789956406.5794106,1789956406.655599,1789956406.655599,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.5794106
0.0,1789956406.7265732,1789956406.7557702,1789956406.7557702,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.7265732
0.0,1789956406.8307521,1789956406.8556006,1789956406.8556006,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.8307521
0.0,1789956406.9259756,1789956406.9559615,1789956406.9559615,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956406.9259756
0.0,1789956407.0372906,1789956407.0555873,1789956407.0555873,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.0372906
0.0,1789956407.1263883,1789956407.155548,1789956407.155548,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.1263883
0.0,1789956407.2321184,1789956407.255657,1789956407.255657,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.2321184
0.0,1789956407.3285959,1789956407.355601,1789956407.355601,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.3285959
