measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790061710.4777262,1790061710.501501,1790061710.9056404,1790061710.9056404,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.452,37.4,1790061710.501501,1790061710.4525883,1790061710.503726,1790061710.4517262,0.0519999999999996,1790061710.8108048,1790061710.8908048,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02377486228942871
1790061710.5277262,1790061710.5513256,1790061711.0047243,1790061711.0047243,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.5,37.452,1790061710.5513256,1790061710.499971,1790061710.551726,1790061710.503726,0.04800000000000182,-inf,inf,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02359938621520996
1790061710.5777261,1790061710.608401,1790061711.10701,1790061711.10701,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.552,37.5,1790061710.608401,1790061710.549695,1790061710.6037261,1790061710.551726,0.0519999999999996,1790061711.011151,1790061711.0907576,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03067493438720703
1790061710.627726,1790061710.6568866,1790061711.2046072,1790061711.2046072,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.6,37.552,1790061710.6568866,1790061710.6093762,1790061710.651726,1790061710.6037261,0.04800000000000182,1790061711.1312904,1790061711.1858108,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029160499572753906
1790061710.677726,1790061710.7073095,1790061711.3056376,1790061711.3056376,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.652,37.6,1790061710.7073095,1790061710.6552513,1790061710.703726,1790061710.651726,0.0519999999999996,1790061711.250998,1790061711.290998,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029583454132080078
1790061710.7277262,1790061710.7526224,1790061711.4062853,1790061711.4062853,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.7,37.652,1790061710.7526224,1790061710.7081826,1790061710.7517262,1790061710.703726,0.04800000000000182,1790061711.250998,1790061711.3869574,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02489614486694336
1790061710.8277261,1790061710.85541,1790061711.5060668,1790061711.5060668,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.8,37.752,1790061710.85541,1790061710.8082585,1790061710.851726,1790061710.8037262,0.047999999999994714,1790061711.250998,1790061711.4908524,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02768397331237793
1790061711.0017262,1790061711.0487082,1790061711.6052122,1790061711.6052122,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,37.9,38.0,1790061710.9526591,1790061711.0487082,1790061710.9517262,1790061711.051726,0.10000000000000142,1790061711.250998,1790061711.5868523,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0469820499420166
1790061711.0777261,1790061711.109242,1790061711.7057335,1790061711.7057335,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,38.0,38.052,1790061711.0503404,1790061711.109242,1790061711.051726,1790061711.1037261,0.0519999999999996,1790061711.250998,1790061711.6908522,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03151583671569824
1790061711.2517262,1790061711.253816,1790061711.8046474,1790061711.8046474,front_rgbd_red_sphere,False,False,False,IMAGE_INVALID,38.2,38.2,1790061711.253816,1790061711.2523727,1790061711.2517262,1790061711.2517262,0.0,1790061711.250998,1790061711.7868524,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020897388458251953
1790061711.403726,1790061711.4075425,1790061711.906536,1790061711.9065793,front_rgbd_red_sphere,True,True,True,,38.352,38.352,1790061711.4075425,1790061711.4033859,1790061711.403726,1790061711.403726,0.0,1790061711.250998,1790061711.8908522,PREPARATION,MID,STRAIGHT,1.0,321,1.0,6.884286403656006,0.40675657987594604,54.53210608567318,-7.163648140320329,0.21344342509709874,0.02215419765007303,0.02215419765007303,0.02215419765007303,54.64558251508621,-6.5532235278432,-0.03238517085981493,-0.11347642941303349,-0.6104246124771286,0.24582859595691367,0.6208825231476434,0.6677775124548081,0.003816366195678711
1790061711.4517262,1790061711.4522283,1790061712.00477,1790061712.00477,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,38.4,38.4,1790061711.4522283,1790061711.450102,1790061711.4517262,1790061711.4517262,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005021095275878906
