measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790079236.0068865,1790079236.071014,1790079236.0959957,1790079236.0961502,front_rgbd_red_sphere,True,True,True,,40.652,40.752,1790079235.9634628,1790079236.071014,1790079235.9568865,1790079236.0568867,0.10000000000000142,1790079235.0401058,1790079236.0441868,1790079236.0441868,1790079236.0441868,1790079236.0441868,1790079236.0441868,1790079235.0401058,1790079236.0441868,1790079235.0401058,1790079236.0441868,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,379,1.0,6.986156463623047,0.5020851492881775,70.23729177339185,-19.133234372300205,0.2762310924541512,0.022458488752066318,0.022458488752066318,0.022458488752066318,70.04970030179229,-18.396835501168518,0.03116968542605523,0.18759147159956058,-0.7363988711316871,0.24506140702809595,0.7599170070612394,0.7984541006441773,0.06412744522094727
1790079236.1548865,1790079236.208824,1790079236.295341,1790079236.2954028,front_rgbd_red_sphere,True,True,True,,40.8,40.9,1790079236.1278896,1790079236.208824,1790079236.1048865,1790079236.2048867,0.10000000000000142,1790079235.220106,1790079236.2281868,1790079236.2281868,1790079236.2281868,1790079236.232187,1790079236.232187,1790079235.216106,1790079236.2281868,1790079235.220106,1790079236.232187,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,376,1.0,7.059162616729736,0.49324217438697815,70.76102678904275,-19.358542570389346,0.4264025945311705,0.02267783785120487,0.02267783785120487,0.02267783785120487,70.5883884411066,-18.641732658498654,0.03932570909907102,0.17263834793614308,-0.7168099118906923,0.3870768854320995,0.7373062111245658,0.8327358309804362,0.053937435150146484
1790079236.3068867,1790079236.3662608,1790079236.3935986,1790079236.3936563,front_rgbd_red_sphere,True,True,True,,40.952,41.052,1790079236.2788033,1790079236.3662608,1790079236.2568865,1790079236.3568866,0.10000000000000142,1790079235.320106,1790079236.332187,1790079236.332187,1790079236.332187,1790079236.332187,1790079236.332187,1790079235.3161058,1790079236.332187,1790079235.320106,1790079236.332187,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,355,1.0,7.173611640930176,0.45195499062538147,71.36033300064307,-19.642575906562925,0.5596610234863864,0.023023848773910623,0.023023848773910623,0.023023848773910623,71.14846529466996,-18.878063347764787,0.04549733518709209,0.21186770597310556,-0.7645125587981383,0.5141636882992943,0.7933267784427696,0.9453738285778367,0.059374094009399414
1790079236.3548865,1790079236.4144094,1790079236.499328,1790079236.499377,front_rgbd_red_sphere,True,True,True,,41.0,41.1,1790079236.3310606,1790079236.4144094,1790079236.3048866,1790079236.4048865,0.10000000000000142,1790079235.420106,1790079236.428187,1790079236.428187,1790079236.428187,1790079236.4321868,1790079236.4321868,1790079235.420106,1790079236.428187,1790079235.420106,1790079236.4321868,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,373,1.0,7.2505974769592285,0.454946905374527,71.52188695592591,-19.73440365988543,0.6820579941164882,0.023258071995205,0.023258071995205,0.023258071995205,71.32693150194122,-18.94932859813986,0.046925829194597105,0.19495545398469005,-0.7850750617455695,0.6351321649218911,0.8089193294842115,1.0284665033590323,0.05952286720275879
0.0,1790079236.5744896,1790079236.6901422,1790079236.6901422,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,41.252,41.252,1790079236.5744896,1790079236.5721006,1790079236.5568867,1790079236.5568867,0.0,1790079235.620106,1790079236.628187,1790079236.628187,1790079236.628187,1790079236.632187,1790079236.632187,1790079235.620106,1790079236.628187,1790079235.620106,1790079236.632187,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1790079236.7308867,1790079236.762646,1790079236.793688,1790079236.793731,front_rgbd_red_sphere,True,True,True,,41.4,41.452,1790079236.7264411,1790079236.762646,1790079236.7048867,1790079236.7568865,0.0519999999999996,1790079235.720106,1790079236.732187,1790079236.732187,1790079236.732187,1790079236.732187,1790079236.732187,1790079235.716106,1790079236.732187,1790079235.720106,1790079236.732187,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,357,1.0,6.877418518066406,0.4276209771633148,73.07079505642804,-20.206618615832127,0.2111269591306773,0.022133758827276348,0.022133758827276348,0.022133758827276348,72.74748556480826,-19.44241647736745,0.048549565271019224,0.3233094916197814,-0.7642021384646789,0.16257739385965808,0.8297794500982956,0.8455562339665105,0.03175926208496094
0.0,1790079236.8765042,1790079236.9886322,1790079236.9886322,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,41.5,41.552,1790079236.8217132,1790079236.8765042,1790079236.8048866,1790079236.8568866,0.0519999999999996,1790079235.920106,1790079236.9321868,1790079236.9321868,1790079236.9321868,1790079236.9321868,1790079236.9321868,1790079235.916106,1790079236.9321868,1790079235.920106,1790079236.9321868,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1790079236.9308865,1790079236.968812,1790079237.0935159,1790079237.0935795,front_rgbd_red_sphere,True,True,True,,41.6,41.652,1790079236.9245899,1790079236.968812,1790079236.9048865,1790079236.9568865,0.0519999999999996,1790079236.0241868,1790079237.028296,1790079237.028296,1790079237.028296,1790079237.032296,1790079237.032296,1790079236.020187,1790079237.028296,1790079236.0241868,1790079237.032296,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,396,1.0,6.813693046569824,0.46999025344848633,73.8900888201781,-20.421658831936693,0.21376410678832253,0.021944549645625398,0.021944549645625398,0.021944549645625398,73.51906829953478,-19.650948706063733,0.042505722135556215,0.37102052064331303,-0.7707101258729594,0.17125838465276633,0.8553656088840303,0.872341538146283,0.03792548179626465
0.0,1790079237.1883678,1790079237.2891657,1790079237.2891657,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,41.852,41.852,1790079237.1883678,1790079237.186164,1790079237.1568866,1790079237.1568866,0.0,1790079236.232187,1790079237.232296,1790079237.232296,1790079237.232296,1790079237.232296,1790079237.232296,1790079236.2281868,1790079237.232296,1790079236.232187,1790079237.232296,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079237.3725338,1790079237.488659,1790079237.488659,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,42.0,42.052,1790079237.3316386,1790079237.3725338,1790079237.3048866,1790079237.3568866,0.0519999999999996,1790079236.4321868,1790079237.432296,1790079237.432296,1790079237.432296,1790079237.432296,1790079237.432296,1790079236.428187,1790079237.432296,1790079236.4321868,1790079237.432296,1790079195.3048866,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
