measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,image_measurement_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,image_clock_mapping_mode,image_clock_status,image_clock_reset_count,image_clock_anchor_sim_stamp,image_clock_anchor_system_stamp,image_clock_reference_age,image_clock_sync_quality,image_measurement_time_source,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790082233.1211681,1790082233.1959376,1790082233.2985396,1790082233.2985747,front_rgbd_red_sphere,True,True,True,,38.7,38.752,1790082233.1483297,1790082233.1959376,1790082233.1211681,1790082233.173143,1790082233.1211681,0.0519999999999996,1790082232.210388,1790082233.206619,1790082233.206619,1790082233.206619,1790082233.210619,1790082233.210619,1790082232.206388,1790082233.206619,1790082232.210388,1790082233.210619,1790082194.421168,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,38.752,1790082233.173143,0.002211332321166992,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,347,1.0,6.949209690093994,0.47636041045188904,53.267487190188476,-5.8244910114455255,0.25263974117308946,0.022347887114272623,0.022347887114272623,0.022347887114272623,53.087789887132544,-5.046443377519747,-0.04995967502357214,0.17969730305593146,-0.7780476339257785,0.3025994161966616,0.7985294242437642,0.8539412439188295,0.07476949691772461
1790082233.22115,1790082233.2919452,1790082233.399759,1790082233.3998096,front_rgbd_red_sphere,True,True,True,,38.8,38.852,1790082233.2407546,1790082233.2919452,1790082233.22115,1790082233.2731466,1790082233.22115,0.0519999999999996,1790082232.3103878,1790082233.3106189,1790082233.3106189,1790082233.3106189,1790082233.3106189,1790082233.3106189,1790082232.3103878,1790082233.3106189,1790082232.3103878,1790082233.3106189,1790082194.42115,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,38.852,1790082233.2731466,0.002276897430419922,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,336,1.0,6.974824905395508,0.4558733403682709,53.531968910856804,-6.086373503373494,0.3267660877432386,0.022424538360425142,0.022424538360425142,0.022424538360425142,53.374279998428726,-5.3255277741586475,-0.04922587986139196,0.15768891242807825,-0.7608457292148465,0.3759919676046306,0.7770148111633534,0.8632044812617827,0.07079529762268066
1790082233.4731548,1790082233.4930513,1790082233.599228,1790082233.5992584,front_rgbd_red_sphere,True,True,True,,39.052,38.952,1790082233.4930513,1790082233.3942206,1790082233.4731548,1790082233.3731444,1790082233.4731548,0.10000000000000142,1790082232.510388,1790082233.510619,1790082233.510619,1790082233.510619,1790082233.510619,1790082233.510619,1790082232.510388,1790082233.510619,1790082232.510388,1790082233.510619,1790082194.4211547,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,38.952,1790082233.3731444,0.0022950172424316406,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,308,1.0,6.95228385925293,0.39181458950042725,54.33572877062789,-6.868361804781756,0.21635032226911394,0.022357079839083006,0.022357079839083006,0.022357079839083006,54.09824829596176,-6.026932645084586,-0.04211493585016839,0.23748047466612832,-0.8414291596971699,0.25846525811928234,0.8742997235710046,0.9117040617936295,0.019896507263183594
1790082233.6211586,1790082233.637994,1790082233.8014112,1790082233.801467,front_rgbd_red_sphere,True,True,True,,39.2,39.2,1790082233.637994,1790082233.6369698,1790082233.6211586,1790082233.6211586,1790082233.6211586,0.0,1790082232.710388,1790082233.710619,1790082233.710619,1790082233.710619,1790082233.710619,1790082233.710619,1790082232.710388,1790082233.710619,1790082232.710388,1790082233.710619,1790082194.4211586,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,39.2,1790082233.6211586,0.0040662288665771484,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,313,1.0,6.905130863189697,0.3977872133255005,54.785629695672306,-7.2921389486747445,0.17319109207067213,0.02221629204129806,0.02221629204129806,0.02221629204129806,54.524850032799726,-6.437427119243952,-0.03478931034941776,0.26077966287257937,-0.8547118294307925,0.2079804024200899,0.893609726858917,0.917493428710904,0.016835451126098633
1790082233.8211517,1790082233.8393295,1790082233.9992945,1790082233.999338,front_rgbd_red_sphere,True,True,True,,39.4,39.4,1790082233.8393295,1790082233.8384786,1790082233.8211517,1790082233.8211517,1790082233.8211517,0.0,1790082232.890388,1790082233.8866189,1790082233.8866189,1790082233.8866189,1790082233.8906188,1790082233.8906188,1790082232.8863878,1790082233.8866189,1790082232.890388,1790082233.8906188,1790082194.4211516,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,39.4,1790082233.8211517,0.0021991729736328125,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,331,1.0,6.85821008682251,0.431520015001297,55.4169143711294,-7.898347685185609,0.12896682226023165,0.022076640358922463,0.022076640358922463,0.022076640358922463,55.103223290795704,-6.990294240977673,-0.022001915493798416,0.3136910803336974,-0.908053444207936,0.15096873775403008,0.9607097123579096,0.9724992088417669,0.01817774772644043
1790082234.0211568,1790082234.0403957,1790082234.2001994,1790082234.2002306,front_rgbd_red_sphere,True,True,True,,39.6,39.6,1790082234.0403957,1790082234.0392666,1790082234.0211568,1790082234.0211568,1790082234.0211568,0.0,1790082233.1106188,1790082234.1108508,1790082234.1108508,1790082234.1108508,1790082234.1108508,1790082234.1108508,1790082233.1106188,1790082234.1108508,1790082233.1106188,1790082234.1108508,1790082194.421157,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,39.6,1790082234.0211568,0.0024602413177490234,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,364,1.0,6.808125019073486,0.47886934876441956,56.00643318814667,-8.44559343138188,0.18013071957537635,0.02192805684191934,0.02192805684191934,0.02192805684191934,55.68370326798185,-7.540572872223962,-0.007065296937946707,0.32272992016482505,-0.9050205591579177,0.18719601651332307,0.9608417215484059,0.9789071265786967,0.019238948822021484
1790082234.1731548,1790082234.2013824,1790082234.2989688,1790082234.298999,front_rgbd_red_sphere,True,True,True,,39.752,39.652,1790082234.2013824,1790082234.0927367,1790082234.1731548,1790082234.0731502,1790082234.1731548,0.10000000000000142,1790082233.210619,1790082234.206851,1790082234.206851,1790082234.206851,1790082234.210851,1790082234.210851,1790082233.206619,1790082234.206851,1790082233.210619,1790082234.210851,1790082194.4211547,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,39.652,1790082234.0731502,0.0025458335876464844,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,STRAIGHT,1.0,396,1.0,6.860060214996338,0.5131543874740601,56.49099791901938,-8.902778081424723,0.2918586817625464,0.022082138344794573,0.022082138344794573,0.022082138344794573,56.12659388217047,-7.9570702299594505,0.004832384820626951,0.3644040368489101,-0.9457078514652721,0.28702629694191945,1.0134858866283452,1.0533459723808858,0.028227567672729492
1790082234.3211582,1790082234.338933,1790082234.501703,1790082234.5017462,front_rgbd_red_sphere,True,True,True,,39.9,39.9,1790082234.338933,1790082234.3375733,1790082234.3211582,1790082234.3211582,1790082234.3211582,0.0,1790082233.410619,1790082234.4068508,1790082234.4068508,1790082234.4068508,1790082234.410851,1790082234.410851,1790082233.4066188,1790082234.4068508,1790082233.410619,1790082234.410851,1790082194.421158,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,39.9,1790082234.3211582,0.003887653350830078,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,417,1.0,6.715563774108887,0.5380827784538269,56.89975419024377,-9.264765621861535,0.22110268299819685,0.021654781852230274,0.021654781852230274,0.021654781852230274,56.55939649518007,-8.361094751616948,0.016161493863722235,0.3403576950637017,-0.9036708702445875,0.20494118913447462,0.9656419638342597,0.9871500865225805,0.01777482032775879
1790082234.373235,1790082234.4363618,1790082234.5988808,1790082234.5989149,front_rgbd_red_sphere,True,True,True,,39.952,40.0,1790082234.3969023,1790082234.4363618,1790082234.373235,1790082234.4211445,1790082234.373235,0.04800000000000182,1790082233.510619,1790082234.510851,1790082234.510851,1790082234.510851,1790082234.510851,1790082234.510851,1790082233.510619,1790082234.510851,1790082233.510619,1790082234.510851,1790082194.421235,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.0,1790082234.4211445,0.0025403499603271484,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,432,1.0,6.69957971572876,0.5515369176864624,57.04310260461864,-9.38604204548312,0.24888533232451243,0.021607764474979148,0.021607764474979148,0.021607764474979148,56.7120604833858,-8.502867541664747,0.01997061267969751,0.3310421212328407,-0.8831745038183723,0.2289147196448149,0.9431787159521609,0.9705606828505011,0.06312680244445801
1790082234.5731578,1790082234.600743,1790082234.6997645,1790082234.6998117,front_rgbd_red_sphere,True,True,True,,40.152,40.152,1790082234.600743,1790082234.599805,1790082234.5731578,1790082234.5731578,1790082234.5731578,0.0,1790082233.5906188,1790082234.5908508,1790082234.5908508,1790082234.5908508,1790082234.5908508,1790082234.5908508,1790082233.5906188,1790082234.5908508,1790082233.5906188,1790082234.5908508,1790082194.4211578,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.152,1790082234.5731578,0.005582332611083984,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,468,1.0,6.6346235275268555,0.5778036713600159,57.60347021607285,-9.843882215447403,0.3438654957706318,0.021417221094566074,0.021417221094566074,0.021417221094566074,57.29986034561324,-9.044971692380479,0.03314028692052776,0.30360987045960997,-0.7989105230669242,0.310725208850104,0.8546560579014038,0.9093883288906386,0.027585268020629883
