measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,image_measurement_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,image_clock_mapping_mode,image_clock_status,image_clock_reset_count,image_clock_anchor_sim_stamp,image_clock_anchor_system_stamp,image_clock_reference_age,image_clock_sync_quality,image_measurement_time_source,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,geometry_diagnostics_enabled,mask_centroid_u,mask_centroid_v,projection_centroid_u,projection_centroid_v,mask_bbox_left,mask_bbox_top,mask_bbox_right,mask_bbox_bottom,valid_depth_count,depth_min,depth_median,depth_mad,camera_fx,camera_fy,camera_cx,camera_cy,camera_translation_x,camera_translation_y,camera_translation_z,camera_pitch_down,surface_camera_x,surface_camera_y,surface_camera_z,center_camera_x,center_camera_y,center_camera_z,target_body_flu_x,target_body_flu_y,target_body_flu_z,interpolated_uav_x,interpolated_uav_y,interpolated_uav_z,interpolated_attitude_w,interpolated_attitude_x,interpolated_attitude_y,interpolated_attitude_z,target_reference_z_offset,gazebo_entity_available,gazebo_entity_clock_status,gazebo_entity_clock_reset_count,gazebo_entity_raw_stamp,gazebo_entity_mapped_stamp,gazebo_entity_center_x,gazebo_entity_center_y,gazebo_entity_center_z,gazebo_entity_reference_x,gazebo_entity_reference_y,gazebo_entity_reference_z,entity_expected_projection_u,entity_expected_projection_v,projection_error_u,projection_error_v,entity_expected_camera_x,entity_expected_camera_y,entity_expected_camera_z,camera_center_error_x,camera_center_error_y,camera_center_error_z,camera_center_error_3d,entity_expected_body_flu_x,entity_expected_body_flu_y,entity_expected_body_flu_z,body_flu_error_x,body_flu_error_y,body_flu_error_z,body_flu_error_3d,vision_to_entity_x,vision_to_entity_y,vision_to_entity_z,vision_to_entity_3d,entity_to_truth_x,entity_to_truth_y,entity_to_truth_z,entity_to_truth_3d,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790147123.8910902,1790147123.939592,1790147124.1140578,1790147124.1141365,front_rgbd_red_sphere,True,True,True,,50.0,50.0,1790147123.9332323,1790147123.939592,1790147123.8910902,1790147123.8910902,1790147123.8910902,0.0,1790147122.99223,1790147123.9925098,1790147123.9925098,1790147123.9925098,1790147123.9925098,1790147123.9925098,1790147122.99223,1790147123.9925098,1790147122.99223,1790147123.9925098,1790147073.8910902,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.0,1790147123.8910902,0.004965782165527344,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,250,1.0,6.83568811416626,0.5004675388336182,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.1544108306103,7.723439182393748,0.2744888459482589,0.02200976366114191,0.02200976366114191,0.02200976366114191,87.3596850271885,7.013924936209606,-0.017271251532648812,-0.2052741965782019,0.7095142461841419,0.2917600974809077,0.7386121860077028,0.7941485476918951,0.04850172996520996
1790147124.0910008,1790147124.1780941,1790147124.2155168,1790147124.2155893,front_rgbd_red_sphere,True,True,True,,50.2,50.252,1790147124.139183,1790147124.1780941,1790147124.0910008,1790147124.1500688,1790147124.0910008,0.0519999999999996,1790147123.0722299,1790147124.09251,1790147124.09251,1790147124.09251,1790147124.09251,1790147124.09251,1790147123.0722299,1790147124.09251,1790147123.0722299,1790147124.09251,1790147073.8910007,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.252,1790147124.1500688,0.0010352134704589844,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,234,1.0,6.7853569984436035,0.45013657212257385,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.99334633694058,8.48664968821564,0.24574212897503594,0.0218606776270401,0.0218606776270401,0.0218606776270401,87.20060980918043,7.797619087031484,-0.030918974075700142,-0.20726347223985897,0.6890306011841565,0.2766611030507361,0.719528537511281,0.7708843507520262,0.08709335327148438
1790147124.3693714,1790147124.4456558,1790147124.516384,1790147124.5164454,front_rgbd_red_sphere,True,True,True,,50.452,50.5,1790147124.4022295,1790147124.4456558,1790147124.3693714,1790147124.421934,1790147124.3693714,0.04800000000000182,1790147123.3722298,1790147124.37251,1790147124.37251,1790147124.37251,1790147124.37251,1790147124.37251,1790147123.3682299,1790147124.37251,1790147123.3722298,1790147124.37251,1790147073.9173715,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.5,1790147124.421934,0.0027294158935546875,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,230,1.0,6.743139266967773,0.4316060543060303,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.6724421495092,9.702178908457785,0.1315100411849866,0.02173601484984406,0.02173601484984406,0.02173601484984406,86.9459671551762,8.881118196259473,-0.044623403446097824,-0.2735250056670111,0.821060712198312,0.17613344463108443,0.8654227994689866,0.8831645442149209,0.07628440856933594
1790147124.421934,1790147124.5788376,1790147124.613862,1790147124.6139088,front_rgbd_red_sphere,True,True,True,,50.5,50.6,1790147124.4487572,1790147124.5788376,1790147124.421934,1790147124.5223556,1790147124.421934,0.10000000000000142,1790147123.43223,1790147124.4365098,1790147124.4365098,1790147124.4365098,1790147124.4365098,1790147124.4365098,1790147123.43223,1790147124.4365098,1790147123.43223,1790147124.4365098,1790147073.921934,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.6,1790147124.5223556,0.0030634403228759766,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,229,1.0,6.742419719696045,0.4346008002758026,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.61190956110377,9.934295761156292,0.1251114610129332,0.02173389334193766,0.02173389334193766,0.02173389334193766,86.89326033499877,9.085209230869422,-0.04633411222683735,-0.2813507738949994,0.8490865302868702,0.17144557323977055,0.8944865532169342,0.9107687843077543,0.15690374374389648
1790147124.6520014,1790147124.7061994,1790147124.919118,1790147124.9191883,front_rgbd_red_sphere,True,True,True,,50.7,50.7,1790147124.7061994,1790147124.6874819,1790147124.6520014,1790147124.6520014,1790147124.6520014,0.0,1790147123.73223,1790147124.7325099,1790147124.7325099,1790147124.7325099,1790147124.7325099,1790147124.7325099,1790147123.72823,1790147124.7325099,1790147123.73223,1790147124.7325099,1790147073.9520013,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.7,1790147124.6520014,0.0029311180114746094,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,222,1.0,6.821591377258301,0.43878865242004395,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.25401955078834,11.06872503382876,0.09207172670119773,0.021967957487211583,0.021967957487211583,0.021967957487211583,86.64625429724089,9.96845539012754,-0.04994885395459751,-0.3922347464525444,1.1002696437012212,0.14202058065579523,1.1680930550153545,1.1766950456702505,0.05419802665710449
1790147124.803996,1790147124.834137,1790147125.0087683,1790147125.0087683,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,50.852,50.852,1790147124.834137,1790147124.8308356,1790147124.803996,1790147124.803996,1790147124.803996,0.0,1790147123.79223,1790147124.79651,1790147124.79651,1790147124.79651,1790147124.80051,1790147124.80051,1790147123.79223,1790147124.79651,1790147123.79223,1790147124.80051,1790147073.951996,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,50.852,1790147124.803996,0.0036704540252685547,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.4653982375173,10.551684531569286,-0.04880194933252433,nan,nan,nan,nan,nan,0.03014087677001953
1790147124.9562879,1790147125.0558429,1790147125.2156248,1790147125.2156742,front_rgbd_red_sphere,True,True,True,,51.0,51.052,1790147125.0142543,1790147125.0558429,1790147124.9562879,1790147125.0236456,1790147124.9562879,0.0519999999999996,1790147123.9925098,1790147125.0085099,1790147125.0085099,1790147125.0085099,1790147125.0125098,1790147125.0125098,1790147123.9925098,1790147125.0085099,1790147123.9925098,1790147125.0125098,1790147073.9562879,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,51.052,1790147125.0236456,0.002493619918823242,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,241,1.0,6.70779275894165,0.48361775279045105,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.82629367709029,12.26665450910384,0.08380376839772913,0.02163191719311594,0.02163191719311594,0.02163191719311594,86.2713052517154,11.128838530586295,-0.044877057731442974,-0.44501157462511287,1.137815978517546,0.1286808261291721,1.2217448598296465,1.2285028520656551,0.09955501556396484
1790147125.1770327,1790147125.2527854,1790147125.4151683,1790147125.4152377,front_rgbd_red_sphere,True,True,True,,51.2,51.252,1790147125.2168233,1790147125.2527854,1790147125.1770327,1790147125.2290213,1790147125.1770327,0.0519999999999996,1790147124.1765099,1790147125.18851,1790147125.18851,1790147125.18851,1790147125.19251,1790147125.19251,1790147124.17251,1790147125.18851,1790147124.1765099,1790147125.19251,1790147073.9770327,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,51.252,1790147125.2290213,0.0020754337310791016,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,268,1.0,6.627081394195557,0.518815815448761,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.47470608794542,13.079491062753242,0.11035289513647589,0.021395151379869966,0.021395151379869966,0.021395151379869966,85.9642073453385,11.956920343813346,-0.034754078858962534,-0.4895012573930728,1.1225707189398957,0.14510697399543843,1.2246536245039386,1.2332203914599962,0.07575273513793945
1790147125.437111,1790147125.466927,1790147125.7186637,1790147125.7187471,front_rgbd_red_sphere,True,True,True,,51.452,51.4,1790147125.466927,1790147125.4189162,1790147125.437111,1790147125.3851147,1790147125.437111,0.0519999999999996,1790147124.4925098,1790147125.4925098,1790147125.4925098,1790147125.4925098,1790147125.49651,1790147125.49651,1790147124.46851,1790147125.4925098,1790147124.4925098,1790147125.49651,1790147073.985111,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,51.4,1790147125.3851147,0.004365444183349609,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,269,1.0,6.690865993499756,0.5406059622764587,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.92651492281165,14.215184483103712,0.1579283599905273,0.021582153957621315,0.021582153957621315,0.021582153957621315,85.56073322848277,12.915720573912592,-0.017624768286198276,-0.6342183056711264,1.29946390919112,0.17555312827672556,1.4459734819624535,1.4565912986786533,0.029816150665283203
1790147125.7422433,1790147125.7709835,1790147126.015735,1790147126.0157773,front_rgbd_red_sphere,True,True,True,,51.752,51.752,1790147125.7709835,1790147125.7679658,1790147125.7422433,1790147125.7422433,1790147125.7422433,0.0,1790147124.78051,1790147125.79651,1790147125.79651,1790147125.79651,1790147125.79651,1790147125.79651,1790147124.78051,1790147125.79651,1790147124.78051,1790147125.79651,1790147073.9902432,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,51.752,1790147125.7422433,0.004856586456298828,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,300,1.0,6.559911727905273,0.5848840475082397,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.34509173292301,15.27186113284569,0.1686304439308693,0.021199103609105815,0.021199103609105815,0.021199103609105815,85.02756409665778,14.006767843997695,0.005817059929108248,-0.6824723637347745,1.2650932888479947,0.16281338400176104,1.4374385401644016,1.4466297918818314,0.02874016761779785
1790147125.990257,1790147126.0666118,1790147126.3143413,1790147126.3144042,front_rgbd_red_sphere,True,True,True,,52.0,52.052,1790147126.0190606,1790147126.0666118,1790147125.990257,1790147126.0422664,1790147125.990257,0.0519999999999996,1790147125.07251,1790147126.09251,1790147126.09251,1790147126.09251,1790147126.09251,1790147126.09251,1790147125.0685098,1790147126.09251,1790147125.07251,1790147126.09251,1790147073.990257,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,52.052,1790147126.0422664,0.004014492034912109,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,328,1.0,6.469485759735107,0.6202042698860168,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.8088473085406,16.041877912452755,0.21252998685500485,0.02093660177355731,0.02093660177355731,0.02093660177355731,84.53484918391776,14.874056968121815,0.024330205080428102,-0.7260018753771504,1.1678209443309395,0.18819978177457675,1.375094353515113,1.387913411899008,0.0763547420501709
1790147126.251076,1790147126.3818288,1790147126.5284708,1790147126.5285518,front_rgbd_red_sphere,True,True,True,,52.252,52.352,1790147126.275902,1790147126.3818288,1790147126.251076,1790147126.3510885,1790147126.251076,0.09999999999999432,1790147125.2725098,1790147126.29251,1790147126.29251,1790147126.29251,1790147126.29251,1790147126.29251,1790147125.2685099,1790147126.29251,1790147125.2725098,1790147126.29251,1790147073.999076,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,0,52.352,1790147126.3510885,0.008554697036743164,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,TURNING,1.0,348,1.0,6.389499664306641,0.6448350548744202,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DISABLED,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.19985896027518,16.79704992362109,0.26219368039603635,0.02070576983878977,0.02070576983878977,0.02070576983878977,83.96164224266705,15.745752849270293,0.0396972423147995,-0.7617832823918746,1.0512970743507957,0.22249643808123687,1.298283215585213,1.317210678983859,0.1307528018951416
