time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase
0.003869,-0.010441,-0.031869,0.032818,-0.010338,-0.006569,20.000000,26.691685,0.000000,1.000000,33.385134,20.000000,31.546873,4.855189,-0.004252,0.000000,0.000000,33.385118,-0.032818,0.000000,-0.010338,-0.006569,-0.004252,0.000000,0.000000,0.000000,0.015366,-0.000358,-0.004506,0,takeoff
0.053862,-0.009888,-0.031611,0.031880,-0.009811,-0.006541,20.000000,26.741738,0.000000,1.000000,33.424675,20.000000,31.603021,4.861283,-0.004546,0.000000,0.000000,33.424659,-0.031880,0.000000,-0.009811,-0.006541,-0.004546,0.000000,0.000000,0.000000,0.013242,-0.000348,-0.007396,0,takeoff
0.104419,-0.009076,-0.031558,0.030559,-0.008909,-0.006813,20.000000,26.792250,0.000000,1.000000,33.464618,20.000000,31.659692,4.867442,-0.005166,0.000000,0.000000,33.464604,-0.030559,0.000000,-0.008909,-0.006813,-0.005166,0.000000,0.000000,0.000000,0.020064,-0.005567,-0.010880,0,takeoff
0.154150,-0.008357,-0.031682,0.029542,-0.008036,-0.006975,20.000000,26.841757,0.000000,1.000000,33.503984,20.000000,31.715268,4.873511,-0.005443,0.000000,0.000000,33.503971,-0.029542,0.000000,-0.008036,-0.006975,-0.005443,0.000000,0.000000,0.000000,0.020657,-0.004399,-0.008514,0,takeoff
0.203946,-0.007004,-0.032039,0.027940,-0.006798,-0.007359,20.000000,26.891574,0.000000,1.000000,33.543434,20.000000,31.771175,4.879601,-0.005967,0.000000,0.000000,33.543422,-0.027940,0.000000,-0.006798,-0.007359,-0.005967,0.000000,0.000000,0.000000,0.022810,-0.007360,-0.009322,0,takeoff
0.253957,-0.006054,-0.032362,0.026989,-0.006002,-0.007584,20.000000,26.941728,0.000000,1.000000,33.583396,20.000000,31.827491,4.885763,-0.006321,0.000000,0.000000,33.583385,-0.026989,0.000000,-0.006002,-0.007584,-0.006321,0.000000,0.000000,0.000000,0.022320,-0.004556,-0.011041,0,takeoff
0.303954,-0.004648,-0.032917,0.025910,-0.004798,-0.007891,20.000000,26.991790,0.000000,1.000000,33.623227,20.000000,31.883700,4.891910,-0.006626,0.000000,0.000000,33.623217,-0.025910,0.000000,-0.004798,-0.007891,-0.006626,0.000000,0.000000,0.000000,0.021815,-0.004825,-0.006616,0,takeoff
0.353945,-0.003572,-0.033354,0.025307,-0.003612,-0.008157,20.000000,27.041686,0.000000,1.000000,33.663056,20.000000,31.939738,4.898052,-0.006801,0.000000,0.000000,33.663046,-0.025307,0.000000,-0.003612,-0.008157,-0.006801,0.000000,0.000000,0.000000,0.029570,-0.010593,-0.002390,0,takeoff
0.403796,-0.001851,-0.034068,0.024579,-0.002054,-0.008814,20.000000,27.091598,0.000000,1.000000,33.702766,20.000000,31.995782,4.904185,-0.006876,0.000000,0.000000,33.702757,-0.024579,0.000000,-0.002054,-0.008814,-0.006876,0.000000,0.000000,0.000000,0.025549,-0.008926,0.000135,0,takeoff
0.453971,-0.000762,-0.034508,0.024272,-0.000854,-0.009200,20.000000,27.141809,0.000000,1.000000,33.742899,20.000000,32.052181,4.910372,-0.006866,0.000000,0.000000,33.742890,-0.024272,0.000000,-0.000854,-0.009200,-0.006866,0.000000,0.000000,0.000000,0.029426,-0.006637,0.000722,0,takeoff
0.504060,0.000722,-0.035135,0.024220,0.000674,-0.009575,20.000000,27.191489,0.000000,1.000000,33.782552,20.000000,32.107981,4.916491,-0.006628,0.000000,0.000000,33.782543,-0.024220,0.000000,0.000674,-0.009575,-0.006628,0.000000,0.000000,0.000000,0.028857,-0.003660,0.007523,0,takeoff
0.553858,0.001686,-0.035613,0.024261,0.001719,-0.009884,20.000000,27.241600,0.000000,1.000000,33.822766,20.000000,32.164288,4.922688,-0.006571,0.000000,0.000000,33.822757,-0.024261,0.000000,0.001719,-0.009884,-0.006571,0.000000,0.000000,0.000000,0.023256,-0.010865,-0.000035,0,takeoff
0.603900,0.002937,-0.036391,0.024166,0.003018,-0.010336,20.000000,27.291735,0.000000,1.000000,33.863101,20.000000,32.220643,4.928907,-0.006440,0.000000,0.000000,33.863092,-0.024166,0.000000,0.003018,-0.010336,-0.006440,0.000000,0.000000,0.000000,0.015829,-0.005637,0.001186,0,takeoff
0.653900,0.003542,-0.036928,0.024167,0.003590,-0.010694,20.000000,27.341643,0.000000,1.000000,33.903467,20.000000,32.276765,4.935121,-0.006493,0.000000,0.000000,33.903459,-0.024167,0.000000,0.003590,-0.010694,-0.006493,0.000000,0.000000,0.000000,0.010406,-0.008213,0.001649,0,takeoff
0.704753,0.004139,-0.037856,0.024307,0.004235,-0.011362,20.000000,27.391861,0.000000,1.000000,33.944432,20.000000,32.333288,4.941427,-0.006223,0.000000,0.000000,33.944423,-0.024307,0.000000,0.004235,-0.011362,-0.006223,0.000000,0.000000,0.000000,0.009343,-0.018061,0.004461,0,takeoff
0.754020,0.004444,-0.038585,0.024438,0.004518,-0.011766,20.000000,27.441825,0.000000,1.000000,33.985229,20.000000,32.389527,4.947702,-0.006077,0.000000,0.000000,33.985220,-0.024438,0.000000,0.004518,-0.011766,-0.006077,0.000000,0.000000,0.000000,0.009463,-0.006971,0.004701,0,takeoff
0.803857,0.004774,-0.039710,0.024655,0.004797,-0.012284,20.000000,27.491480,0.000000,1.000000,34.026109,20.000000,32.445469,4.953990,-0.005807,0.000000,0.000000,34.026100,-0.024655,0.000000,0.004797,-0.012284,-0.005807,0.000000,0.000000,0.000000,0.006722,-0.007791,0.003437,0,takeoff
0.853849,0.004879,-0.040358,0.024772,0.005014,-0.012663,20.000000,27.541200,0.000000,1.000000,34.066815,20.000000,32.501447,4.960247,-0.005664,0.000000,0.000000,34.066806,-0.024772,0.000000,0.005014,-0.012663,-0.005664,0.000000,0.000000,0.000000,0.007395,-0.007858,0.006649,0,takeoff
0.903820,0.004898,-0.041087,0.024956,0.005092,-0.013099,20.000000,27.591667,0.000000,1.000000,34.108267,20.000000,32.558284,4.966617,-0.005419,0.000000,0.000000,34.108258,-0.024956,0.000000,0.005092,-0.013099,-0.005419,0.000000,0.000000,0.000000,0.004217,-0.005824,0.003245,0,takeoff
0.953953,0.004861,-0.041446,0.025016,0.005177,-0.013070,20.000000,27.641787,0.000000,1.000000,34.149196,20.000000,32.614692,4.972905,-0.005377,0.000000,0.000000,34.149187,-0.025016,0.000000,0.005177,-0.013070,-0.005377,0.000000,0.000000,0.000000,0.004193,0.004485,0.000182,0,takeoff
1.003890,0.004763,-0.041696,0.024978,0.005470,-0.013004,20.000000,27.691651,0.000000,1.000000,34.189891,20.000000,32.670807,4.979156,-0.005211,0.000000,0.000000,34.189882,-0.024978,0.000000,0.005470,-0.013004,-0.005211,0.000000,0.000000,0.000000,0.006290,0.004679,0.000748,0,takeoff
1.053881,0.004792,-0.041759,0.024949,0.005567,-0.012806,20.000000,27.741528,0.000000,1.000000,34.230396,20.000000,32.726907,4.985379,-0.005098,0.000000,0.000000,34.230387,-0.024949,0.000000,0.005567,-0.012806,-0.005098,0.000000,0.000000,0.000000,0.002345,0.006589,0.005581,0,takeoff
1.104071,0.004963,-0.041885,0.025122,0.005673,-0.012475,20.000000,27.791247,0.000000,1.000000,34.270766,20.000000,32.782830,4.991582,-0.005020,0.000000,0.000000,34.270757,-0.025122,0.000000,0.005673,-0.012475,-0.005020,0.000000,0.000000,0.000000,0.004630,0.004577,0.001453,0,takeoff
