time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason
0.045315,0.045417,0.017747,0.079174,0.000950,-0.000089,20.000000,85.142941,0.000000,5.000000,87.432768,20.000000,125.142941,8.000000,0.005267,0.150000,-0.000000,87.432740,0.070826,0.150000,0.000950,-0.000089,0.005267,0.000000,0.000000,0.000000,-0.006043,0.030268,-0.002489,0,takeoff,,87.432768,5.000092,-4.867903,0,,
0.093030,0.045194,0.019973,0.078916,0.000398,0.001280,20.000000,85.382066,0.000000,5.000000,87.663482,20.000000,125.382066,8.000000,0.005102,0.149049,-0.018486,87.663454,0.070133,0.001157,0.000398,0.001280,0.005102,0.000000,0.000000,0.000000,-0.009237,0.022031,-0.003502,0,takeoff,,87.663482,4.998775,-4.867381,0,,
0.143371,0.045038,0.021403,0.078559,0.000112,0.002268,20.000000,85.634521,0.000000,5.000000,87.907971,20.000000,125.634521,8.000000,0.004854,0.147162,-0.036859,87.907944,0.068602,-0.147710,0.000112,0.002268,0.004854,0.000000,0.000000,0.000000,-0.008670,0.018787,-0.008954,0,takeoff,,87.907971,4.997906,-4.867207,0,,
0.193387,0.044691,0.023489,0.077855,-0.000374,0.003427,20.000000,85.883202,0.000000,5.000000,88.148223,20.000000,125.883202,8.000000,0.004453,0.144390,-0.055004,88.148198,0.066536,-0.295644,-0.000374,0.003427,0.004453,0.000000,0.000000,0.000000,-0.014104,0.019854,-0.007062,0,takeoff,,88.148223,4.996927,-4.866892,0,,
0.244062,0.044389,0.024707,0.077472,-0.000661,0.004214,20.000000,86.136770,0.000000,5.000000,88.394105,20.000000,126.136770,8.000000,0.004342,0.140667,-0.072810,88.394082,0.063195,-0.441816,-0.000661,0.004214,0.004342,0.000000,0.000000,0.000000,-0.006206,0.020763,-0.002673,0,takeoff,,88.394105,4.996382,-4.866905,0,,
0.293268,0.043808,0.026261,0.076889,-0.001389,0.004917,20.000000,86.383086,0.000000,5.000000,88.632693,20.000000,126.383086,8.000000,0.003992,0.136182,-0.090168,88.632674,0.059293,-0.585159,-0.001389,0.004917,0.003992,0.000000,0.000000,0.000000,-0.011567,0.012150,-0.007679,0,takeoff,,88.632693,4.995970,-4.867071,0,,
0.343214,0.043277,0.027249,0.076496,-0.001848,0.005339,20.000000,86.633137,0.000000,5.000000,88.875495,20.000000,126.633137,8.000000,0.003820,0.130803,-0.106969,88.875478,0.054306,-0.724949,-0.001848,0.005339,0.003820,0.000000,0.000000,0.000000,-0.013114,0.010503,-0.003803,0,takeoff,,88.875495,4.995890,-4.867460,0,,
0.394207,0.042179,0.028402,0.075871,-0.002891,0.005729,20.000000,86.886580,0.000000,5.000000,89.121603,20.000000,126.886580,8.000000,0.003437,0.124533,-0.123111,89.121589,0.048662,-0.860353,-0.002891,0.005729,0.003437,0.000000,0.000000,0.000000,-0.015941,0.002710,-0.003710,0,takeoff,,89.121603,4.995875,-4.868010,0,,
0.443086,0.041333,0.028835,0.075566,-0.003574,0.005711,20.000000,87.126149,0.000000,5.000000,89.354868,20.000000,127.126149,8.000000,0.003394,0.117858,-0.138494,89.354858,0.042292,-0.990091,-0.003574,0.005711,0.003394,0.000000,0.000000,0.000000,-0.017206,0.000962,-0.001187,0,takeoff,,89.354868,4.996306,-4.868840,0,,
0.493001,0.039941,0.029158,0.075100,-0.004686,0.005420,20.000000,87.381579,0.000000,5.000000,89.603854,20.000000,127.381579,8.000000,0.003142,0.110034,-0.153023,89.603847,0.034934,-1.114147,-0.004686,0.005420,0.003142,0.000000,0.000000,0.000000,-0.026144,-0.009230,-0.006480,0,takeoff,,89.603854,4.997023,-4.870067,0,,
0.542978,0.038773,0.029233,0.074857,-0.005508,0.005057,20.000000,87.632590,0.000000,5.000000,89.848759,20.000000,127.632590,8.000000,0.002893,0.101648,-0.166608,89.848755,0.026791,-1.231217,-0.005508,0.005057,0.002893,0.000000,0.000000,0.000000,-0.018812,-0.011622,-0.005614,0,takeoff,,89.848759,4.997821,-4.871288,0,,
