time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.016598,0.024892,0.027186,0.021404,0.010023,0.001270,20.000000,0.615828,0.000000,5.000000,19.983780,20.000000,18.113722,3.499579,0.001731,0.028856,0.232719,19.983779,0.007452,0.843273,0.010023,0.001270,0.001731,0.000000,0.000000,0.000000,-0.003781,-0.011022,-0.003506,0,takeoff,,19.983780,5.004074,-0.137310,0,,,
0.066670,0.024540,0.026077,0.020333,0.009781,0.000248,20.000000,0.862413,0.000000,5.000000,19.992970,20.000000,18.554225,3.538362,0.001500,0.040168,0.229109,19.992960,0.019835,0.850839,0.009781,0.000248,0.001500,0.000000,0.000000,0.000000,-0.003343,-0.016879,-0.003303,0,takeoff,,19.992970,5.004940,-0.199600,0,,,
0.116452,0.024342,0.025245,0.019668,0.009633,-0.000320,20.000000,1.113271,0.000000,5.000000,20.005292,20.000000,19.006615,3.578669,0.001516,0.051429,0.224087,20.005267,0.031762,0.853364,0.009633,-0.000320,0.001516,0.000000,0.000000,0.000000,-0.002540,-0.015377,0.000517,0,takeoff,,20.005292,5.005280,-0.262686,0,,,
0.166636,0.024187,0.023989,0.018670,0.009428,-0.001151,20.000000,1.366485,0.000000,5.000000,20.020922,20.000000,19.468272,3.620357,0.001194,0.062474,0.217684,20.020874,0.043804,0.850568,0.009428,-0.001151,0.001194,0.000000,0.000000,0.000000,-0.001384,-0.014834,-0.005614,0,takeoff,,20.020922,5.005843,-0.326417,0,,,
0.216492,0.024190,0.022990,0.017876,0.009468,-0.001670,20.000000,1.614932,0.000000,5.000000,20.039219,20.000000,19.925504,3.662114,0.001051,0.072924,0.209938,20.039143,0.055049,0.841743,0.009468,-0.001670,0.001051,0.000000,0.000000,0.000000,0.000635,-0.015270,-0.004178,0,takeoff,,20.039219,5.006039,-0.388475,0,,,
0.266541,0.024495,0.021424,0.016375,0.009846,-0.002707,20.000000,1.865676,0.000000,5.000000,20.060571,20.000000,20.391778,3.705220,0.000532,0.083023,0.200899,20.060460,0.066648,0.827396,0.009846,-0.002707,0.000532,0.000000,0.000000,0.000000,0.009569,-0.012895,-0.010467,0,takeoff,,20.060571,5.006727,-0.450781,0,,,
0.316610,0.024884,0.020529,0.015534,0.010073,-0.003248,20.000000,2.115214,0.000000,5.000000,20.084793,20.000000,20.859721,3.748901,0.000294,0.092560,0.190620,20.084645,0.077026,0.807176,0.010073,-0.003248,0.000294,0.000000,0.000000,0.000000,0.006175,-0.016111,-0.004239,0,takeoff,,20.084793,5.006877,-0.512511,0,,,
0.366976,0.025617,0.019299,0.014401,0.010661,-0.003748,20.000000,2.368021,0.000000,5.000000,20.112187,20.000000,21.338396,3.794075,-0.000024,0.101646,0.179166,20.111998,0.087245,0.781417,0.010661,-0.003748,-0.000024,0.000000,0.000000,0.000000,0.012333,-0.006863,-0.003931,0,takeoff,,20.112187,5.006967,-0.574532,0,,,
0.416721,0.026234,0.018459,0.013663,0.010915,-0.004133,20.000000,2.615645,0.000000,5.000000,20.142144,20.000000,21.811474,3.839166,-0.000220,0.109919,0.166608,20.141914,0.096256,0.749556,0.010915,-0.004133,-0.000220,0.000000,0.000000,0.000000,0.008615,-0.009273,-0.006087,0,takeoff,,20.142144,5.006925,-0.635220,0,,,
0.466701,0.027475,0.017309,0.012693,0.011762,-0.004715,20.000000,2.866412,0.000000,5.000000,20.174988,20.000000,22.294776,3.885673,-0.000193,0.117624,0.153023,20.174715,0.104931,0.712219,0.011762,-0.004715,-0.000193,0.000000,0.000000,0.000000,0.016803,-0.006023,-0.001548,0,takeoff,,20.174988,5.007074,-0.695917,0,,,
0.516822,0.028368,0.016758,0.012172,0.012282,-0.004918,20.000000,3.116117,0.000000,5.000000,20.211006,20.000000,22.780184,3.932813,-0.000172,0.124569,0.138494,20.210693,0.112397,0.669238,0.012282,-0.004918,-0.000172,0.000000,0.000000,0.000000,0.010402,-0.004619,0.000957,0,takeoff,,20.211006,5.006853,-0.756140,0,,,
0.566485,0.029738,0.016045,0.011567,0.013115,-0.005091,20.000000,3.365456,0.000000,5.000000,20.249546,20.000000,23.268988,3.980706,-0.000343,0.130739,0.123111,20.249196,0.119172,0.620807,0.013115,-0.005091,-0.000343,0.000000,0.000000,0.000000,0.010744,0.001083,0.001810,0,takeoff,,20.249546,5.006631,-0.815668,0,,,
0.616616,0.030788,0.015542,0.011158,0.013764,-0.005120,20.000000,3.616162,0.000000,5.000000,20.291612,20.000000,23.764880,4.029744,-0.000545,0.136136,0.106969,20.291227,0.124978,0.567194,0.013764,-0.005120,-0.000545,0.000000,0.000000,0.000000,0.018108,-0.001729,-0.010098,0,takeoff,,20.291612,5.006293,-0.875245,0,,,
0.666802,0.032322,0.014738,0.010539,0.014754,-0.005320,20.000000,3.862697,0.000000,5.000000,20.335483,20.000000,24.256618,4.078784,-0.000789,0.140614,0.090168,20.335067,0.130076,0.508389,0.014754,-0.005320,-0.000789,0.000000,0.000000,0.000000,0.014670,-0.003662,-0.003113,0,takeoff,,20.335483,5.006168,-0.933221,0,,,
0.716491,0.033166,0.014304,0.010075,0.015252,-0.005642,20.000000,4.115304,0.000000,5.000000,20.384079,20.000000,24.764950,4.129929,-0.000797,0.144338,0.072810,20.383637,0.134263,0.445039,0.015252,-0.005642,-0.000797,0.000000,0.000000,0.000000,0.013088,-0.004809,0.001474,0,takeoff,,20.384079,5.006206,-0.992613,0,,,
0.766416,0.034188,0.013827,0.009407,0.015785,-0.005840,20.000000,4.362636,0.000000,5.000000,20.434401,20.000000,25.266696,4.180812,-0.000880,0.147095,0.055004,20.433937,0.137688,0.377057,0.015785,-0.005840,-0.000880,0.000000,0.000000,0.000000,0.010250,-0.001635,-0.002397,0,takeoff,,20.434401,5.006177,-1.050287,0,,,
0.816643,0.034737,0.013596,0.008912,0.016036,-0.005897,20.000000,4.615326,0.000000,5.000000,20.489199,20.000000,25.783616,4.233658,-0.001000,0.149003,0.036859,20.488720,0.140092,0.305052,0.016036,-0.005897,-0.001000,0.000000,0.000000,0.000000,0.009230,-0.005253,-0.006036,0,takeoff,,20.489199,5.006066,-1.108922,0,,,
0.866455,0.035309,0.013373,0.008304,0.016310,-0.005704,20.000000,4.857841,0.000000,5.000000,20.544532,20.000000,26.283590,4.285150,-0.001276,0.149936,0.018486,20.544044,0.141632,0.229154,0.016310,-0.005704,-0.001276,0.000000,0.000000,0.000000,0.001302,0.004203,-0.001479,0,takeoff,,20.544532,5.005769,-1.164648,0,,,
0.916757,0.035530,0.013331,0.008143,0.016216,-0.005578,20.000000,5.114567,0.000000,5.000000,20.606378,20.000000,26.817072,4.340501,-0.001253,0.150000,-0.000000,20.605890,0.141857,0.150000,0.016216,-0.005578,-0.001253,0.000000,0.000000,0.000000,-0.004101,0.003620,0.002315,0,takeoff,,20.606378,5.005605,-1.223459,0,,,
0.966544,0.035490,0.013454,0.008076,0.015837,-0.005128,20.000000,5.364729,0.000000,5.000000,20.669729,20.000000,27.340936,4.395241,-0.001147,0.149113,-0.018486,20.669248,0.141038,0.067861,0.015837,-0.005128,-0.001147,0.000000,0.000000,0.000000,-0.007869,0.008052,0.001997,0,takeoff,,20.669729,5.005184,-1.280384,0,,,
1.016657,0.035306,0.013617,0.008155,0.015439,-0.004729,20.000000,5.615151,0.000000,5.000000,20.736093,20.000000,27.869299,4.450830,-0.001119,0.147304,-0.036859,20.735626,0.139149,-0.016749,0.015439,-0.004729,-0.001119,0.000000,0.000000,0.000000,-0.010404,0.010176,0.000192,0,takeoff,,20.736093,5.004880,-1.336845,0,,,
1.066557,0.034804,0.013840,0.008311,0.014830,-0.004152,20.000000,5.861863,0.000000,5.000000,20.804495,20.000000,28.393759,4.506379,-0.001155,0.144625,-0.055004,20.804049,0.136314,-0.103245,0.014830,-0.004152,-0.001155,0.000000,0.000000,0.000000,-0.010688,0.006909,0.001103,0,takeoff,,20.804495,5.004463,-1.392054,0,,,
1.116556,0.034451,0.013943,0.008305,0.014336,-0.003772,20.000000,6.115661,0.000000,5.000000,20.877541,20.000000,28.937101,4.564288,-0.001206,0.140974,-0.072810,20.877120,0.132669,-0.191353,0.014336,-0.003772,-0.001206,0.000000,0.000000,0.000000,-0.010861,0.009702,-0.001628,0,takeoff,,20.877541,5.004305,-1.448249,0,,,
1.166528,0.033840,0.013957,0.008135,0.013596,-0.003508,20.000000,6.365014,0.000000,5.000000,20.952326,20.000000,29.474937,4.621985,-0.001449,0.136508,-0.090168,20.951933,0.128373,-0.280246,0.013596,-0.003508,-0.001449,0.000000,0.000000,0.000000,-0.013913,0.002309,-0.005693,0,takeoff,,20.952326,5.004313,-1.503161,0,,,
1.216520,0.033373,0.013873,0.007992,0.012911,-0.003442,20.000000,6.615289,0.000000,5.000000,21.029980,20.000000,30.018385,4.680619,-0.001628,0.131185,-0.106969,21.029619,0.123193,-0.369497,0.012911,-0.003442,-0.001628,0.000000,0.000000,0.000000,-0.019017,-0.000899,-0.000351,0,takeoff,,21.029980,5.004567,-1.557730,0,,,
1.266543,0.032533,0.013477,0.007833,0.012051,-0.003543,20.000000,6.864737,0.000000,5.000000,21.110501,20.000000,30.564253,4.739903,-0.001667,0.125071,-0.123111,21.110175,0.117238,-0.458462,0.012051,-0.003543,-0.001667,0.000000,0.000000,0.000000,-0.012730,-0.002448,-0.001526,0,takeoff,,21.110501,5.005031,-1.611790,0,,,
1.316662,0.032047,0.013087,0.007715,0.011451,-0.003620,20.000000,7.115656,0.000000,5.000000,21.193816,20.000000,31.116573,4.800183,-0.001637,0.118149,-0.138494,21.193528,0.110434,-0.546646,0.011451,-0.003620,-0.001637,0.000000,0.000000,0.000000,-0.011909,-0.004143,0.003292,0,takeoff,,21.193816,5.005504,-1.665335,0,,,
1.366364,0.031325,0.012385,0.007549,0.010623,-0.003854,20.000000,7.357761,0.000000,5.000000,21.277058,20.000000,31.653367,4.859121,-0.001818,0.110763,-0.153023,21.276807,0.103214,-0.632792,0.010623,-0.003854,-0.001818,0.000000,0.000000,0.000000,-0.014207,-0.004942,-0.001335,0,takeoff,,21.277058,5.006149,-1.716753,0,,,
1.417034,0.030846,0.011789,0.007472,0.009952,-0.004214,20.000000,7.616633,0.000000,5.000000,21.368429,20.000000,32.230434,4.922760,-0.001911,0.102180,-0.166608,21.368219,0.094708,-0.717992,0.009952,-0.004214,-0.001911,0.000000,0.000000,0.000000,-0.016759,-0.006475,-0.001436,0,takeoff,,21.368429,5.006933,-1.770927,0,,,
1.466470,0.030393,0.010958,0.007300,0.009598,-0.004613,20.000000,7.864337,0.000000,5.000000,21.458522,20.000000,32.786251,4.984383,-0.002068,0.093320,-0.179166,21.458350,0.086020,-0.799714,0.009598,-0.004613,-0.002068,0.000000,0.000000,0.000000,-0.002569,-0.007867,-0.003819,0,takeoff,,21.458522,5.007755,-1.821944,0,,,
1.516763,0.030310,0.010472,0.007207,0.009491,-0.004734,20.000000,8.117361,0.000000,5.000000,21.552633,20.000000,33.356563,5.047840,-0.002195,0.083694,-0.190620,21.552498,0.076486,-0.878527,0.009491,-0.004734,-0.002195,0.000000,0.000000,0.000000,-0.004041,-0.003737,-0.002682,0,takeoff,,21.552633,5.008289,-1.873037,0,,,
1.566386,0.030346,0.009768,0.007142,0.009567,-0.005030,20.000000,8.365371,0.000000,5.000000,21.647346,20.000000,33.918941,5.110714,-0.002327,0.073739,-0.200899,21.647244,0.066598,-0.952996,0.009567,-0.005030,-0.002327,0.000000,0.000000,0.000000,0.001349,-0.004324,0.001418,0,takeoff,,21.647346,5.008977,-1.922442,0,,,
1.616810,0.030498,0.009227,0.007066,0.009774,-0.005204,20.000000,8.616699,0.000000,5.000000,21.745637,20.000000,34.491673,5.174995,-0.002429,0.063199,-0.209938,21.745564,0.056133,-1.023232,0.009774,-0.005204,-0.002429,0.000000,0.000000,0.000000,0.006854,-0.000994,-0.006481,0,takeoff,,21.745637,5.009514,-1.971675,0,,,
1.666815,0.030894,0.008233,0.006851,0.010058,-0.005872,20.000000,8.866388,0.000000,5.000000,21.845690,20.000000,35.064141,5.239551,-0.002471,0.052335,-0.217684,21.845642,0.045485,-1.088231,0.010058,-0.005872,-0.002471,0.000000,0.000000,0.000000,0.004360,-0.009671,-0.003294,0,takeoff,,21.845690,5.010507,-2.020177,0,,,
1.716671,0.031239,0.007543,0.006646,0.010247,-0.006238,20.000000,9.113638,0.000000,5.000000,21.947063,20.000000,35.633622,5.303997,-0.002359,0.041260,-0.224087,21.947036,0.034614,-1.147299,0.010247,-0.006238,-0.002359,0.000000,0.000000,0.000000,0.004924,-0.011374,0.004141,0,takeoff,,21.947063,5.011157,-2.067474,0,,,
1.766634,0.031907,0.006530,0.006424,0.010590,-0.006968,20.000000,9.365548,0.000000,5.000000,22.052585,20.000000,36.216965,5.370283,-0.002458,0.029722,-0.229109,22.052572,0.023298,-1.200659,0.010590,-0.006968,-0.002458,0.000000,0.000000,0.000000,0.005651,-0.012596,-0.001363,0,takeoff,,22.052585,5.012106,-2.115106,0,,,
1.816601,0.032412,0.005817,0.006356,0.010908,-0.007465,20.000000,9.615597,0.000000,5.000000,22.159706,20.000000,36.798619,5.436604,-0.002480,0.018085,-0.232719,22.159703,0.011729,-1.247114,0.010908,-0.007465,-0.002480,0.000000,0.000000,0.000000,0.010326,-0.013726,-0.001785,0,takeoff,,22.159706,5.012767,-2.161587,0,,,
1.866405,0.033215,0.004753,0.006433,0.011443,-0.008044,20.000000,9.859686,0.000000,5.000000,22.266392,20.000000,37.369393,5.501941,-0.002266,0.006616,-0.234893,22.266392,0.000183,-1.285752,0.011443,-0.008044,-0.002266,0.000000,0.000000,0.000000,0.006161,-0.009747,0.000743,0,takeoff,,22.266392,5.013457,-2.206258,0,,,
1.916803,0.033576,0.004155,0.006515,0.011616,-0.008194,20.000000,10.116300,0.000000,5.000000,22.381101,20.000000,37.971929,5.571126,-0.002271,-0.005481,-0.235619,22.381098,-0.011995,-1.318146,0.011616,-0.008194,-0.002271,0.000000,0.000000,0.000000,0.003539,-0.005660,0.000009,0,takeoff,,22.381101,5.013641,-2.252546,0,,,
1.969501,0.033954,0.003379,0.006578,0.011796,-0.008393,20.000000,10.371844,0.000000,5.000000,22.497747,20.000000,38.574993,5.640630,-0.002090,-0.017493,-0.234893,22.497734,-0.024071,-1.342438,0.011796,-0.008393,-0.002090,0.000000,0.000000,0.000000,0.000580,-0.004045,0.003281,0,takeoff,,22.497747,5.013815,-2.297983,0,,,
2.016475,0.034124,0.002989,0.006743,0.011721,-0.008576,20.000000,10.613660,0.000000,5.000000,22.610258,20.000000,39.147842,5.706836,-0.001984,-0.028755,-0.232719,22.610230,-0.035498,-1.356842,0.011721,-0.008576,-0.001984,0.000000,0.000000,0.000000,-0.001614,-0.002062,0.004303,0,takeoff,,22.610258,5.013902,-2.340465,0,,,
2.066303,0.034283,0.002464,0.007318,0.011827,-0.008783,20.000000,10.859311,0.000000,5.000000,22.726707,20.000000,39.732415,5.774621,-0.001587,-0.040026,-0.229109,22.726658,-0.047344,-1.363045,0.011827,-0.008783,-0.001587,0.000000,0.000000,0.000000,0.000341,-0.000226,0.004943,0,takeoff,,22.726707,5.013962,-2.382845,0,,,
2.116524,0.034300,0.002071,0.007821,0.011697,-0.008815,20.000000,11.115231,0.000000,5.000000,22.850274,20.000000,40.343876,5.845729,-0.001139,-0.051517,-0.224087,22.850197,-0.059337,-1.361471,0.011697,-0.008815,-0.001139,0.000000,0.000000,0.000000,-0.004892,-0.001837,0.012912,0,takeoff,,22.850274,5.013788,-2.426380,0,,,
2.166675,0.034210,0.001418,0.008657,0.011362,-0.008969,20.000000,11.365483,0.000000,5.000000,22.973458,20.000000,40.944715,5.915846,-0.000776,-0.062430,-0.217684,22.973348,-0.071087,-1.350215,0.011362,-0.008969,-0.000776,0.000000,0.000000,0.000000,-0.005139,-0.004401,0.006991,0,takeoff,,22.973458,5.013676,-2.468536,0,,,
2.216538,0.034076,0.000854,0.009300,0.011155,-0.009388,20.000000,11.615415,0.000000,5.000000,23.098548,20.000000,41.547075,5.986332,-0.000626,-0.072945,-0.209938,23.098402,-0.082245,-1.329706,0.011155,-0.009388,-0.000626,0.000000,0.000000,0.000000,-0.005334,-0.009170,0.003529,0,takeoff,,23.098548,5.013771,-2.509956,0,,,
2.266364,0.033939,-0.000060,0.010252,0.010764,-0.009819,20.000000,11.860374,0.000000,5.000000,23.223310,20.000000,42.140221,6.055969,-0.000298,-0.082810,-0.200899,23.223124,-0.093061,-1.299445,0.010764,-0.009819,-0.000298,0.000000,0.000000,0.000000,-0.008060,-0.006608,0.005376,0,takeoff,,23.223310,5.013845,-2.550127,0,,,
