time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.007099,0.035625,0.030508,0.022885,0.003414,-0.006839,-0.000333,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,19.964411,19.964398,-0.022885,20.000000,-0.000000,0.000000,2.592779,0.003414,-0.006839,-0.000333,0.000000,0.000000,0.000000,-0.011161,0.005652,-0.000663,0,takeoff,,19.964411,0.007651,0.003425,0,,,
0.056719,0.035531,0.030852,0.023253,0.003004,-0.006510,-0.000170,20.002266,0.487524,0.022928,0.031252,4.999902,0.234893,19.971957,19.971957,-0.000325,20.111539,17.969621,0.844229,3.496488,0.003004,-0.006510,-0.000170,0.000000,0.000000,0.000000,-0.006081,0.001929,0.002895,0,takeoff,,19.971957,5.012008,-0.142712,0,,,
0.107152,0.035509,0.031071,0.023453,0.002868,-0.006281,-0.000121,20.006116,0.739182,0.034599,0.062518,4.999609,0.232719,19.983160,19.983157,0.011146,20.228372,18.513157,0.861931,3.555073,0.002868,-0.006281,-0.000121,0.000000,0.000000,0.000000,-0.003580,0.008678,0.002572,0,takeoff,,19.983160,5.011657,-0.237128,0,,,
0.156842,0.035479,0.031340,0.023749,0.002731,-0.006080,-0.000020,20.011483,0.987089,0.045885,0.093810,4.999120,0.229109,19.998867,19.998855,0.022135,20.350583,19.057580,0.874054,3.614735,0.002731,-0.006080,-0.000020,0.000000,0.000000,0.000000,-0.003446,0.004145,0.004551,0,takeoff,,19.998867,5.011270,-0.330428,0,,,
0.206955,0.035500,0.031526,0.024080,0.002830,-0.005813,-0.000006,20.018469,1.238007,0.057027,0.125143,4.998434,0.224087,20.019384,20.019357,0.032947,20.478568,19.615150,0.880903,3.676581,0.002830,-0.005813,-0.000006,0.000000,0.000000,0.000000,0.003740,0.004630,0.002556,0,takeoff,,20.019384,5.010755,-0.424044,0,,,
0.256961,0.035633,0.031873,0.024640,0.002956,-0.005527,0.000177,20.027013,1.488101,0.067783,0.156530,4.997549,0.217684,20.044394,20.044347,0.043143,20.612425,20.178597,0.881906,3.739932,0.002956,-0.005527,0.000177,0.000000,0.000000,0.000000,0.000685,0.005001,0.005635,0,takeoff,,20.044394,5.010157,-0.517110,0,,,
0.307054,0.035813,0.032140,0.024978,0.003029,-0.005376,0.000198,20.037142,1.738354,0.078128,0.187985,4.996465,0.209938,20.074042,20.073972,0.053150,20.752425,20.749936,0.876946,3.805007,0.003029,-0.005376,0.000198,0.000000,0.000000,0.000000,0.004657,0.004744,-0.000710,0,takeoff,,20.074042,5.009652,-0.609977,0,,,
0.356808,0.036229,0.032648,0.025447,0.003261,-0.004830,0.000303,20.048762,1.986386,0.087904,0.219520,4.995179,0.200899,20.107771,20.107674,0.062457,20.898582,21.324056,0.865637,3.871267,0.003261,-0.004830,0.000303,0.000000,0.000000,0.000000,0.008528,0.009279,-0.002445,0,takeoff,,20.107771,5.008702,-0.701675,0,,,
0.406959,0.036617,0.033035,0.025685,0.003725,-0.004472,0.000460,20.062060,2.236661,0.097234,0.251151,4.993688,0.190620,20.146450,20.146323,0.071549,21.051504,21.910012,0.848209,3.939643,0.003725,-0.004472,0.000460,0.000000,0.000000,0.000000,0.008992,0.008815,0.003171,0,takeoff,,20.146450,5.007892,-0.793316,0,,,
0.457016,0.037419,0.033653,0.026058,0.004629,-0.004092,0.000705,20.076983,2.487346,0.105979,0.282890,4.991991,0.179166,20.189382,20.189224,0.079920,21.211277,22.503539,0.824375,4.009661,0.004629,-0.004092,0.000705,0.000000,0.000000,0.000000,0.016450,0.008105,0.002569,0,takeoff,,20.189382,5.007007,-0.884096,0,,,
0.507021,0.038026,0.034106,0.026270,0.005063,-0.003786,0.000754,20.093304,2.734554,0.113952,0.314753,4.990083,0.166608,20.236459,20.236269,0.087683,21.377720,23.097643,0.793832,4.080711,0.005063,-0.003786,0.000754,0.000000,0.000000,0.000000,0.012492,0.010565,0.001530,0,takeoff,,20.236459,5.006211,-0.974041,0,,,
0.556980,0.038946,0.034842,0.026538,0.005808,-0.003079,0.001029,20.111499,2.985962,0.121367,0.346753,4.987962,0.153023,20.288556,20.288334,0.094829,21.551964,23.706737,0.757047,4.154157,0.005808,-0.003079,0.001029,0.000000,0.000000,0.000000,0.009828,0.014363,-0.002176,0,takeoff,,20.288556,5.004981,-1.064009,0,,,
0.607078,0.039603,0.035448,0.026784,0.006333,-0.002545,0.001111,20.131194,3.235439,0.127972,0.378904,4.985622,0.138494,20.345078,20.344826,0.101188,21.733552,24.319265,0.713651,4.228926,0.006333,-0.002545,0.001111,0.000000,0.000000,0.000000,0.010242,0.014146,0.000676,0,takeoff,,20.345078,5.003948,-1.153180,0,,,
0.656947,0.040614,0.036447,0.027144,0.006962,-0.001670,0.001367,20.152443,3.483959,0.133766,0.411222,4.983061,0.123111,20.405450,20.405172,0.106622,21.922746,24.935927,0.663755,4.304978,0.006962,-0.001670,0.001367,0.000000,0.000000,0.000000,0.010445,0.014754,0.001945,0,takeoff,,20.405450,5.002578,-1.241252,0,,,
0.706911,0.041243,0.037090,0.027325,0.007332,-0.001121,0.001517,20.175371,3.732973,0.138753,0.443721,4.980272,0.106969,20.470835,20.470532,0.111428,22.120156,25.560990,0.607587,4.382896,0.007332,-0.001121,0.001517,0.000000,0.000000,0.000000,0.007777,0.016739,0.003253,0,takeoff,,20.470835,5.001584,-1.329145,0,,,
0.756871,0.042098,0.037980,0.027534,0.007775,-0.000572,0.001665,20.199861,3.981011,0.142869,0.476417,4.977251,0.090168,20.540112,20.539788,0.115334,22.325684,26.190053,0.545207,4.462110,0.007775,-0.000572,0.001665,0.000000,0.000000,0.000000,0.006732,0.010574,0.003388,0,takeoff,,20.540112,5.000618,-1.415995,0,,,
0.807058,0.042743,0.038515,0.027712,0.008056,-0.000193,0.001793,20.226141,4.230351,0.146130,0.509324,4.973991,0.072810,20.614438,20.614097,0.118418,22.540166,26.828838,0.476932,4.543331,0.008056,-0.000193,0.001793,0.000000,0.000000,0.000000,0.003931,0.005158,0.001246,0,takeoff,,20.614438,4.999882,-1.502669,0,,,
0.857037,0.043873,0.039082,0.027978,0.008729,0.000223,0.001869,20.254013,4.478790,0.148478,0.542458,4.970487,0.055004,20.692397,20.692046,0.120500,22.763335,27.471444,0.402919,4.625835,0.008729,0.000223,0.001869,0.000000,0.000000,0.000000,0.011698,0.005257,0.000735,0,takeoff,,20.692397,4.999121,-1.588006,0,,,
0.906981,0.044618,0.039316,0.028054,0.009271,0.000451,0.001997,20.283478,4.726327,0.149905,0.575835,4.966731,0.036859,20.774850,20.774493,0.121852,22.995570,28.118827,0.323505,4.709839,0.009271,0.000451,0.001997,0.000000,0.000000,0.000000,0.015042,0.005309,0.001228,0,takeoff,,20.774850,4.998614,-1.672593,0,,,
