time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.045070,0.047604,0.006905,0.015264,0.012936,-0.002121,-0.003571,20.001697,0.396514,0.018652,0.031252,4.999902,0.234893,CV,0.000000,19.957897,19.957897,0.003388,20.110582,17.816523,0.837036,3.484070,0.012936,-0.002121,-0.003571,0.000000,0.000000,0.000000,-0.007767,0.013314,0.004831,0,takeoff,,19.957897,5.007738,-0.116001,0,,,
0.094796,0.047347,0.007281,0.015819,0.012504,-0.001614,-0.003370,20.004927,0.644095,0.030173,0.062518,4.999609,0.232719,CV,-0.125116,19.967743,19.967738,0.014354,20.226342,18.350780,0.854372,3.541614,0.012504,-0.001614,-0.003370,0.000000,0.000000,0.000000,-0.008286,0.015636,0.005380,0,takeoff,,19.967743,5.007042,-0.209658,0,,,
0.144864,0.047204,0.007891,0.016874,0.012098,-0.001009,-0.002801,20.009782,0.896443,0.041730,0.093810,4.999120,0.229109,CV,-0.125336,19.982360,19.982344,0.024856,20.347645,18.900995,0.866877,3.601544,0.012098,-0.001009,-0.002801,0.000000,0.000000,0.000000,-0.005890,0.008521,0.010108,0,takeoff,,19.982360,5.006171,-0.304260,0,,,
0.195153,0.047281,0.008254,0.017576,0.011951,-0.000724,-0.002543,20.016366,1.143671,0.052799,0.125143,4.998434,0.224087,CTRV,-0.125062,20.001369,20.001338,0.035222,24.602740,21.968264,1.011502,4.278256,0.011951,-0.000724,-0.002543,0.000000,0.000000,0.000000,-0.004413,0.005505,0.004861,0,takeoff,,20.001369,5.005572,-0.397196,0,,,
0.245122,0.047371,0.008696,0.018548,0.012052,-0.000317,-0.002146,20.024375,1.395395,0.063745,0.156530,4.997549,0.217684,CTRV,-0.125451,20.025126,20.025075,0.045197,24.858116,22.547478,1.011368,4.353207,0.012052,-0.000317,-0.002146,0.000000,0.000000,0.000000,-0.001018,0.008643,0.006642,0,takeoff,,20.025126,5.004784,-0.490719,0,,,
0.295264,0.047391,0.008995,0.019173,0.011961,-0.000107,-0.001889,20.033868,1.644340,0.074179,0.187985,4.996465,0.209938,CTRV,-0.125429,20.053345,20.053270,0.055006,25.104850,23.119276,1.003567,4.426956,0.011961,-0.000107,-0.001889,0.000000,0.000000,0.000000,0.000928,0.002833,0.004523,0,takeoff,,20.053345,5.004157,-0.583486,0,,,
0.344590,0.047329,0.009370,0.019949,0.011619,0.000389,-0.001752,20.044966,1.894029,0.084190,0.219520,4.995179,0.200899,CTRV,-0.125773,20.086353,20.086251,0.064241,25.375319,23.703239,0.989094,4.504279,0.011619,0.000389,-0.001752,0.000000,0.000000,0.000000,-0.006792,0.008654,-0.000138,0,takeoff,,20.086353,5.003220,-0.676282,0,,,
0.395115,0.047147,0.009542,0.020257,0.011334,0.000573,-0.001578,20.057633,2.143416,0.093675,0.251151,4.993688,0.190620,CTRV,-0.125884,20.124074,20.123940,0.073418,25.645039,24.287422,0.967058,4.581799,0.011334,0.000573,-0.001578,0.000000,0.000000,0.000000,-0.008199,0.004497,0.003574,0,takeoff,,20.124074,5.002565,-0.768613,0,,,
0.445246,0.046771,0.009715,0.020503,0.010892,0.000481,-0.001496,20.071970,2.394139,0.102634,0.282890,4.991991,0.179166,CTRV,-0.126329,20.166824,20.166657,0.082131,25.938714,24.883980,0.938070,4.662903,0.010892,0.000481,-0.001496,0.000000,0.000000,0.000000,-0.011923,0.003703,0.004508,0,takeoff,,20.166824,5.002179,-0.860995,0,,,
0.495182,0.046475,0.009731,0.020537,0.010405,0.000202,-0.001383,20.087746,2.642250,0.110871,0.314753,4.990083,0.166608,CTRV,-0.126484,20.213630,20.213428,0.090334,26.228224,25.474415,0.901136,4.743256,0.010405,0.000202,-0.001383,0.000000,0.000000,0.000000,-0.011901,-0.008423,-0.000019,0,takeoff,,20.213630,5.001976,-0.952360,0,,,
