time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.041611,-0.069448,-0.011389,-0.133842,-0.006347,-0.002416,-0.005234,20.001803,0.413383,0.019445,0.031252,4.999902,0.234893,CV,0.000000,20.076330,20.075745,0.153286,20.064307,10.413188,0.489231,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,-0.006347,-0.002416,-0.005234,0.000000,0.000000,0.000000,0.017104,0.017950,0.004817,0,takeoff,,20.076330,5.008219,-0.145261,0,,,
0.091437,-0.068723,-0.010045,-0.133571,-0.005623,-0.001058,-0.005319,20.005134,0.660626,0.030942,0.062518,4.999609,0.232719,CV,-0.124243,20.085732,20.085058,0.164514,20.130170,10.659844,0.496380,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,-0.005623,-0.001058,-0.005319,0.000000,0.000000,0.000000,0.009836,0.020147,-0.002253,0,takeoff,,20.085732,5.006793,-0.237024,0,,,
0.141398,-0.068290,-0.009112,-0.133508,-0.005159,-0.000194,-0.005642,20.010061,0.911277,0.042410,0.093810,4.999120,0.229109,CV,-0.124525,20.100205,20.099435,0.175918,20.197682,10.909517,0.500629,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,-0.005159,-0.000194,-0.005642,0.000000,0.000000,0.000000,0.008298,0.023813,-0.005134,0,takeoff,,20.100205,5.005801,-0.329835,0,,,
0.191488,-0.067793,-0.007670,-0.133598,-0.004729,0.001119,-0.006008,20.016906,1.162396,0.053638,0.125143,4.998434,0.224087,CTRV,-0.124907,20.119623,20.118752,0.187237,21.506799,11.024507,0.501813,1.356994,4.812335,0.224087,0.601096,-0.169498,0.000000,2.000000,-0.004729,0.001119,-0.006008,0.000000,0.000000,0.000000,0.002612,0.022497,-0.005511,0,takeoff,,20.119623,5.004294,-0.422410,0,,,
0.241419,-0.067542,-0.006751,-0.133755,-0.004567,0.001976,-0.006118,20.024916,1.410815,0.064417,0.156530,4.997549,0.217684,CTRV,-0.124896,20.143377,20.142402,0.198171,21.576599,11.263398,0.499785,1.387076,4.803751,0.217684,0.599968,-0.173240,0.000000,2.000000,-0.004567,0.001976,-0.006118,0.000000,0.000000,0.000000,0.003712,0.019363,-0.003430,0,takeoff,,20.143377,5.003178,-0.514449,0,,,
0.291520,-0.067219,-0.005630,-0.134110,-0.004346,0.002815,-0.006322,20.034606,1.662127,0.074926,0.187985,4.996465,0.209938,CTRV,-0.125301,20.171972,20.170889,0.209036,21.652237,11.503926,0.494803,1.421172,4.793774,0.209938,0.600665,-0.178074,0.000000,2.000000,-0.004346,0.002815,-0.006322,0.000000,0.000000,0.000000,0.001323,0.011529,-0.007781,0,takeoff,,20.171972,5.002030,-0.606762,0,,,
0.341405,-0.066983,-0.004909,-0.134413,-0.004395,0.003416,-0.006568,20.045801,1.911500,0.084893,0.219520,4.995179,0.200899,CTRV,-0.125538,20.205069,20.203879,0.219307,21.727842,11.742396,0.486690,1.453675,4.784018,0.200899,0.600578,-0.182492,0.000000,2.000000,-0.004395,0.003416,-0.006568,0.000000,0.000000,0.000000,-0.003731,0.011942,-0.008190,0,takeoff,,20.205069,5.001088,-0.698602,0,,,
0.391387,-0.066701,-0.003880,-0.134841,-0.004091,0.004428,-0.006396,20.058585,2.160991,0.094346,0.251151,4.993688,0.190620,CTRV,-0.125806,20.242686,20.241388,0.229187,21.805457,11.980461,0.475586,1.486496,4.773922,0.190620,0.600586,-0.187010,0.000000,2.000000,-0.004091,0.004428,-0.006396,0.000000,0.000000,0.000000,0.003789,0.014084,0.000443,0,takeoff,,20.242686,4.999668,-0.789572,0,,,
0.441375,-0.066610,-0.003389,-0.135014,-0.004046,0.004881,-0.006536,20.072942,2.410204,0.103211,0.282890,4.991991,0.179166,CTRV,-0.126113,20.285062,20.283663,0.238225,21.885189,12.217688,0.461544,1.519739,4.763443,0.179166,0.600731,-0.191658,0.000000,2.000000,-0.004046,0.004881,-0.006536,0.000000,0.000000,0.000000,0.000492,0.008418,-0.003792,0,takeoff,,20.285062,4.998808,-0.880444,0,,,
0.491284,-0.066582,-0.002744,-0.135168,-0.004093,0.005386,-0.006583,20.088940,2.660078,0.111466,0.314753,4.990083,0.166608,CTRV,-0.126567,20.332155,20.330659,0.246634,21.968176,12.454751,0.444682,1.554438,4.752233,0.166608,0.601477,-0.196741,0.000000,2.000000,-0.004093,0.005386,-0.006583,0.000000,0.000000,0.000000,0.000249,0.011852,0.001296,0,takeoff,,20.332155,4.997886,-0.971003,0,,,
