time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.003513,0.055054,-0.011940,0.071178,0.002026,-0.000739,-0.005083,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.945077,19.944950,-0.071178,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997254,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667449,1.592449,0.002026,-0.000739,-0.005083,0.000000,0.000000,0.000000,-0.000718,0.006041,0.002905,0,takeoff,,19.945077,0.005522,0.002044,0,,,
0.051870,0.054433,-0.011209,0.070870,0.001876,-0.000364,-0.005358,20.001953,0.437481,0.020577,0.031252,4.999902,0.234893,CV,0.000000,19.952629,19.952565,-0.050293,20.064384,10.425443,0.489807,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,1.997631,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667454,1.517449,0.001876,-0.000364,-0.005358,0.000000,0.000000,0.000000,-0.008101,0.008335,-0.005285,0,takeoff,,19.952629,5.006121,-0.141208,0,,,
0.102736,0.053732,-0.010624,0.070581,0.001616,0.000012,-0.005174,20.005370,0.679510,0.031822,0.062518,4.999609,0.232719,CV,-0.120126,19.963608,19.963570,-0.038760,20.130292,10.669631,0.496835,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,1.998180,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667445,1.442449,0.001616,0.000012,-0.005174,0.000000,0.000000,0.000000,-0.006243,0.007375,0.002293,0,takeoff,,19.963608,5.005624,-0.233237,0,,,
0.152235,0.052400,-0.009772,0.069944,0.000876,0.000519,-0.005110,20.010553,0.937518,0.043613,0.093810,4.999120,0.229109,CV,-0.122711,19.980639,19.980622,-0.026331,20.198083,10.930919,0.501610,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,1.999032,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667450,1.367449,0.000876,0.000519,-0.005110,0.000000,0.000000,0.000000,-0.015380,0.008470,0.000735,0,takeoff,,19.980639,5.004949,-0.329507,0,,,
0.202656,0.051522,-0.009299,0.069522,0.000524,0.000782,-0.005152,20.017648,1.187817,0.054778,0.125143,4.998434,0.224087,CTRV,-0.123355,20.001987,20.001982,-0.014744,21.492320,11.052864,0.502953,1.342042,4.816526,0.224087,0.594140,-0.165547,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667456,1.292449,0.000524,0.000782,-0.005152,0.000000,0.000000,0.000000,-0.012712,0.007208,-0.003880,0,takeoff,,20.001987,5.004458,-0.423336,0,,,
0.251655,0.049426,-0.008292,0.068703,-0.000597,0.001393,-0.005276,20.025798,1.435641,0.065498,0.156530,4.997549,0.217684,CTRV,-0.123809,20.028490,20.028489,-0.003205,21.566839,11.290350,0.500866,1.376629,4.806755,0.217684,0.595118,-0.170439,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667448,1.217449,-0.000597,0.001393,-0.005276,0.000000,0.000000,0.000000,-0.013568,0.009670,-0.003446,0,takeoff,,20.028490,5.003596,-0.516875,0,,,
0.302226,0.047806,-0.007607,0.068158,-0.001677,0.001864,-0.005388,20.035679,1.687705,0.076001,0.187985,4.996465,0.209938,CTRV,-0.124699,20.059641,20.059639,0.007843,21.647423,11.530725,0.495878,1.415397,4.795482,0.209938,0.597991,-0.176498,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667436,1.142449,-0.001677,0.001864,-0.005388,0.000000,0.000000,0.000000,-0.030619,0.016085,-0.001059,0,takeoff,,20.059641,5.002836,-0.611179,0,,,
0.352098,0.045268,-0.006700,0.067460,-0.003100,0.002411,-0.005514,20.047108,1.938551,0.085981,0.219520,4.995179,0.200899,CTRV,-0.125096,20.096217,20.096209,0.018521,21.724826,11.770373,0.487779,1.449437,4.785304,0.200899,0.598620,-0.181318,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667421,1.067449,-0.003100,0.002411,-0.005514,0.000000,0.000000,0.000000,-0.029301,0.008738,-0.001531,0,takeoff,,20.096217,5.001989,-0.705050,0,,,
0.402189,0.043437,-0.006058,0.066826,-0.004288,0.002845,-0.005752,20.060009,2.187047,0.095341,0.251151,4.993688,0.190620,CTRV,-0.125503,20.136377,20.136357,0.028515,21.803927,12.007170,0.476581,1.483601,4.774822,0.190620,0.599252,-0.186196,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667415,0.992449,-0.004288,0.002845,-0.005752,0.000000,0.000000,0.000000,-0.030401,0.013809,-0.007063,0,takeoff,,20.136377,5.001233,-0.797763,0,,,
0.452413,0.040618,-0.004975,0.065432,-0.005826,0.003717,-0.006111,20.074646,2.438099,0.104212,0.282890,4.991991,0.179166,CTRV,-0.125999,20.182478,20.182441,0.038780,21.885789,12.245835,0.462545,1.518658,4.763788,0.179166,0.600234,-0.191350,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667444,0.917449,-0.005826,0.003717,-0.006111,0.000000,0.000000,0.000000,-0.023015,0.013468,-0.006545,0,takeoff,,20.182478,5.000057,-0.890775,0,,,
0.502160,0.038840,-0.004252,0.064571,-0.006861,0.004055,-0.006263,20.090689,2.686013,0.112332,0.314753,4.990083,0.166608,CTRV,-0.126043,20.231570,20.231514,0.047762,21.964829,12.481888,0.445549,1.549452,4.753862,0.166608,0.599190,-0.195297,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667445,0.842449,-0.006861,0.004055,-0.006263,0.000000,0.000000,0.000000,-0.029148,0.009018,-0.005141,0,takeoff,,20.231570,4.999380,-0.982175,0,,,
0.551896,0.036342,-0.003301,0.063523,-0.008360,0.004588,-0.006598,20.108370,2.934535,0.119790,0.346753,4.987962,0.153023,CTRV,-0.126893,20.285964,20.285886,0.056268,22.053554,12.716185,0.425835,1.587980,4.741131,0.153023,0.601618,-0.201504,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667431,0.767449,-0.008360,0.004588,-0.006598,0.000000,0.000000,0.000000,-0.026653,0.009011,-0.004690,0,takeoff,,20.285964,4.998559,-1.073508,0,,,
0.602191,0.034635,-0.002650,0.062855,-0.009231,0.005033,-0.006851,20.127745,3.184146,0.126548,0.378904,4.985622,0.138494,CTRV,-0.127313,20.344355,20.344255,0.063693,22.140018,12.952034,0.403535,1.622486,4.729433,0.138494,0.602119,-0.206564,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667421,0.692449,-0.009231,0.005033,-0.006851,0.000000,0.000000,0.000000,-0.019589,0.013818,-0.008504,0,takeoff,,20.344355,4.997804,-1.163971,0,,,
0.652051,0.032146,-0.001555,0.061849,-0.010468,0.005692,-0.007055,20.148694,3.433083,0.132510,0.411222,4.983061,0.123111,CTRV,-0.127553,20.407773,20.407651,0.070661,22.226577,13.187120,0.378732,1.655379,4.718021,0.123111,0.601798,-0.211149,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667420,0.617449,-0.010468,0.005692,-0.007055,0.000000,0.000000,0.000000,-0.018340,0.008858,-0.003588,0,takeoff,,20.407773,4.996896,-1.253817,0,,,
