time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.047706,-0.076972,-0.012799,-0.029779,-0.012542,0.002146,-0.007441,88.197255,-19.999857,-0.139500,4.997765,-0.149467,0.072810,CTRV,0.437744,90.508749,90.508682,-0.109721,97.086653,-16.158990,0.006121,3.316449,3.741813,0.072810,-1.637956,1.451756,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133388,0.058388,0.000000,0.000000,-0.057441,0.250847,-0.042914,-1.000000,0.010310,0.013669,-0.004006,0,takeoff,,90.508749,5.013244,-4.919994,0,,,
0.097122,-0.076910,-0.011662,-0.029995,-0.012187,0.002755,-0.007331,88.445787,-19.998923,-0.134697,4.999928,-0.026885,0.090168,CTRV,0.450447,90.751141,90.751080,-0.104702,97.169445,-15.837828,0.045639,3.125573,3.902665,0.090168,-1.757946,1.407907,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133385,-0.016612,0.000000,0.000000,-0.107441,0.000000,0.000000,-1.000000,0.008057,0.015816,0.005400,0,takeoff,,90.751141,5.013151,-4.895455,0,,,
0.147412,-0.076650,-0.009981,-0.030244,-0.011572,0.003726,-0.007399,88.696981,-19.991597,-0.129014,4.999019,0.099043,0.106969,CTRV,0.462896,90.994683,90.994629,-0.098770,97.241456,-15.513821,0.084924,2.926273,4.054248,0.106969,-1.876696,1.354561,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133384,-0.091612,0.000000,0.000000,-0.157441,0.000000,0.000000,-1.000000,0.011981,0.017931,-0.000485,0,takeoff,,90.994683,5.012802,-4.867234,0,,,
0.197253,-0.076366,-0.008697,-0.030377,-0.011107,0.004369,-0.007438,88.943648,-19.977969,-0.122632,4.994793,0.228139,0.123111,CTRV,0.476233,91.232358,91.232312,-0.092255,97.288518,-15.179203,0.123590,2.709463,4.202238,0.123111,-2.001243,1.290335,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133386,-0.166612,0.000000,0.000000,-0.207441,0.000000,0.000000,-1.000000,0.015236,0.018166,-0.001032,0,takeoff,,91.232358,5.012598,-4.835397,0,,,
0.247366,-0.075674,-0.006461,-0.030784,-0.010152,0.005713,-0.007415,89.193734,-19.957482,-0.115405,4.987010,0.360182,0.138494,CTRV,0.490086,91.471732,91.471693,-0.084622,97.320006,-14.837951,0.161582,2.477999,4.342755,0.138494,-2.128324,1.214433,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133382,-0.219873,0.000000,0.000000,-0.257441,0.000000,0.000000,-1.000000,0.017374,0.022837,-0.001152,0,takeoff,,91.471732,5.011843,-4.799399,0,,,
0.297347,-0.075059,-0.004963,-0.031075,-0.009459,0.006667,-0.007414,89.439302,-19.930640,-0.107580,4.975446,0.494907,0.153023,CTRV,0.501473,91.705285,91.705253,-0.076506,97.347725,-14.513037,0.198465,2.258667,4.460765,0.153023,-2.236952,1.132660,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133368,-0.219021,0.000000,0.000000,-0.307441,0.000000,0.000000,-1.000000,0.015989,0.026280,0.001776,0,takeoff,,91.705285,5.011328,-4.759594,0,,,
0.347256,-0.074071,-0.002920,-0.031396,-0.008290,0.007713,-0.007352,89.692308,-19.895820,-0.098830,4.959896,0.632006,0.166608,CTRV,0.514527,91.944194,91.944169,-0.067435,97.356768,-14.174183,0.234386,2.015960,4.575577,0.166608,-2.354258,1.037266,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133386,-0.218078,0.000000,0.000000,-0.357441,0.000000,0.000000,-1.000000,0.024141,0.019089,0.003873,0,takeoff,,91.944194,5.010277,-4.715309,0,,,
0.397309,-0.073308,-0.001494,-0.031600,-0.007644,0.008513,-0.007218,89.934678,-19.855419,-0.089790,4.940178,0.771127,0.179166,CTRV,0.526321,92.171683,92.171665,-0.058190,97.349357,-13.845167,0.268543,1.776859,4.673625,0.179166,-2.459825,0.935198,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133388,-0.217097,0.000000,0.000000,-0.407441,0.000000,0.000000,-1.000000,0.017673,0.021594,0.007131,0,takeoff,,92.171683,5.009717,-4.667288,0,,,
0.447665,-0.072475,-0.000128,-0.031794,-0.006862,0.009370,-0.007276,90.178757,-19.807588,-0.080101,4.916144,0.911880,0.190620,CTRV,0.535831,92.399258,92.399245,-0.048307,97.347002,-13.530269,0.301139,1.552563,4.752846,0.190620,-2.546722,0.831911,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133397,-0.216038,0.000000,0.000000,-0.457441,0.000000,0.000000,-1.000000,0.019681,0.022134,-0.000978,0,takeoff,,92.399258,5.008960,-4.614988,0,,,
0.497684,-0.071171,0.001962,-0.032149,-0.005617,0.010424,-0.007335,90.428304,-19.751019,-0.069637,4.887681,1.053838,0.200899,CTRV,0.550044,92.630107,92.630100,-0.037488,97.300894,-13.187430,0.332160,1.277415,4.834068,0.200899,-2.658952,0.702635,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133381,-0.214888,0.000000,0.000000,-0.507441,0.000000,0.000000,-1.000000,0.016212,0.018090,-0.003398,0,takeoff,,92.630107,5.007638,-4.558157,0,,,
