time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.034722,-0.036790,0.012217,-0.009075,0.003640,0.014421,0.004828,8.000000,0.003237,0.015230,0.000003,0.050000,0.234893,1,7.959145,1.058780,0.123423,1.061860,1.000000,1,7.954525,1.055715,0.121130,0.018213,0.017852,0.016539,1.058770,0.025664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,8.036832,8.036795,0.024304,8.000005,0.073329,0.344512,0.000003,0.050000,0.234893,-0.000000,0.000000,0.000000,1.401842,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131955,0.081955,0.000000,0.000000,-0.045172,-0.072800,-0.288424,-1.000000,0.014680,0.012841,0.003467,0,takeoff,,8.036832,0.232828,0.002981,0,,,
0.084645,-0.035998,0.013014,-0.008931,0.004365,0.014798,0.004926,8.000001,0.008956,0.026853,0.000019,0.100000,0.232719,1,7.960669,1.059807,0.123967,1.056062,1.000000,1,7.956383,1.057212,0.122357,0.019519,0.018685,0.017091,1.053501,0.025555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,8.036079,8.036000,0.035784,8.000027,0.149136,0.353079,0.000019,0.100000,0.232719,-0.000000,0.000000,0.000000,1.401804,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131932,0.031955,0.000000,0.000000,-0.095172,0.000000,0.000000,-1.000000,0.017974,0.011668,0.001563,0,takeoff,,8.036079,0.243244,0.003374,0,,,
0.134589,-0.035269,0.014068,-0.008624,0.004993,0.015306,0.004957,8.000004,0.017158,0.038313,0.000056,0.150000,0.229109,1,7.950447,1.072909,0.151424,1.062949,1.000000,1,7.956302,1.060622,0.127876,0.018054,0.022117,0.023556,1.048212,0.025151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,8.035411,8.035274,0.046937,8.000082,0.227424,0.359472,0.000056,0.150000,0.229109,-0.000000,0.000000,0.000000,1.401771,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131934,0.000387,0.000000,0.000000,-0.145172,0.000000,0.000000,-1.000000,0.008186,0.007896,0.003926,0,takeoff,,8.035411,0.261555,0.003575,0,,,
0.184676,-0.034926,0.014769,-0.008383,0.005277,0.015727,0.005210,8.000010,0.027889,0.049590,0.000125,0.200000,0.224087,1,7.958255,1.074916,0.151640,1.052817,1.000000,1,7.957436,1.063907,0.132736,0.018376,0.025154,0.028688,1.040221,0.025307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,8.035156,8.034946,0.057973,8.000185,0.308241,0.363706,0.000125,0.200000,0.224087,-0.000000,0.000000,0.000000,1.401758,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131940,0.001637,0.000000,0.000000,-0.195172,0.000000,0.000000,-1.000000,0.014521,0.009880,0.007438,0,takeoff,,8.035156,0.286165,0.003271,0,,,
0.234863,-0.034429,0.015748,-0.008095,0.005592,0.016076,0.005528,8.000021,0.041153,0.060583,0.000234,0.250000,0.217684,1,7.954497,1.075132,0.178926,1.041724,1.000000,1,7.957818,1.066811,0.141259,0.017624,0.027457,0.038609,1.029691,0.025660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006262,8.034784,8.034491,0.068678,8.000350,0.391587,0.365719,0.000234,0.250000,0.217684,-0.000000,0.000000,0.000000,1.401739,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131926,0.003169,0.000000,0.000000,-0.245172,0.000000,0.000000,-1.000000,0.010452,0.004214,0.002354,0,takeoff,,8.034784,0.315846,0.002804,0,,,
0.284711,-0.034128,0.016219,-0.007889,0.005792,0.016219,0.005612,8.000040,0.056824,0.071125,0.000394,0.300000,0.209938,1,7.954497,1.075132,0.178926,1.025010,1.000000,1,7.958699,1.068183,0.143189,0.017624,0.027457,0.038609,1.014765,0.025740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006568,8.034659,8.034271,0.079013,8.000592,0.477344,0.365402,0.000394,0.300000,0.209938,-0.000000,0.000000,0.000000,1.401733,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131933,0.005061,0.000000,0.000000,-0.295172,0.000000,0.000000,-1.000000,0.006629,0.002929,0.002321,0,takeoff,,8.034659,0.349728,0.001954,0,,,
0.334652,-0.033710,0.016789,-0.007533,0.006144,0.016319,0.005765,8.000070,0.075017,0.081255,0.000613,0.349999,0.200899,1,7.954497,1.075132,0.178926,1.005905,1.000000,1,7.959579,1.069555,0.145118,0.017624,0.027457,0.038609,0.997408,0.025562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,-0.007114,8.034482,8.033991,0.088787,8.003375,0.565608,0.362859,0.004102,0.349976,0.200899,0.002490,-0.000029,0.000000,1.401724,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131905,0.007256,0.000000,0.000000,-0.345172,0.000000,0.000000,-1.000000,0.009130,-0.002115,0.000531,0,takeoff,,8.034482,0.386588,0.000956,0,,,
0.384816,-0.033387,0.017127,-0.007133,0.006477,0.016365,0.005870,8.000115,0.095791,0.090927,0.000900,0.399999,0.190620,1,7.952216,1.104355,0.207144,1.016368,1.000000,1,7.958928,1.077593,0.158983,0.015475,0.036780,0.055304,0.985020,0.025386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,-0.007833,8.034486,8.033887,0.098060,8.004454,0.656461,0.358124,0.005292,0.399965,0.190620,0.003133,-0.000041,0.000000,1.401724,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131916,0.009802,0.000000,0.000000,-0.395172,0.000000,0.000000,-1.000000,0.006673,-0.000484,0.001031,0,takeoff,,8.034486,0.425839,-0.000435,0,,,
0.434694,-0.032891,0.017469,-0.006440,0.007130,0.016491,0.005929,8.000177,0.119013,0.100010,0.001266,0.449998,0.179166,1,7.952896,1.132818,0.207416,1.020574,1.000000,1,7.958501,1.089483,0.170441,0.013799,0.050832,0.067462,0.973914,0.025553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,-0.008695,8.034415,8.033710,0.106450,8.005795,0.749758,0.351152,0.006750,0.449949,0.179166,0.003912,-0.000059,0.000000,1.401721,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131889,0.012650,0.000000,0.000000,-0.445172,0.000000,0.000000,-1.000000,0.007954,0.003487,0.003268,0,takeoff,,8.034415,0.466877,-0.001911,0,,,
0.484756,-0.032660,0.017566,-0.006154,0.007343,0.016373,0.005922,8.000262,0.144702,0.108466,0.001719,0.499997,0.166608,1,7.952896,1.132818,0.207416,0.994187,1.000000,1,7.959191,1.092025,0.173815,0.013799,0.050832,0.067462,0.950462,0.025563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,-0.009614,8.034745,8.033927,0.114620,8.007393,0.845529,0.342007,0.008457,0.499928,0.166608,0.004807,-0.000081,0.000000,1.401737,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131869,0.015837,0.000000,0.000000,-0.495172,0.000000,0.000000,-1.000000,0.007321,-0.003123,-0.000652,0,takeoff,,8.034745,0.509650,-0.004322,0,,,
0.534794,-0.032356,0.017496,-0.005762,0.007602,0.015971,0.005820,8.000374,0.173116,0.116319,0.002269,0.549995,0.153023,1,7.944815,1.187743,0.235325,1.023092,1.000000,1,7.956939,1.113376,0.189085,0.009714,0.076957,0.083989,0.944071,0.025878,8.000002,0.028237,0.132676,0.145800,0.500072,,,,,,,,,,,7.963631,1.064640,0.129400,0.892377,0.500072,,,,,,,,,,,CTRV,-0.010702,8.035165,8.034238,0.122081,8.009337,0.944024,0.330820,0.010519,0.549899,0.153023,0.005885,-0.000113,0.000000,1.401758,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131875,0.019385,0.000000,0.000000,-0.545172,0.000000,0.000000,-1.000000,0.004567,-0.006130,-0.002350,0,takeoff,,8.035165,0.553967,-0.007248,0,,,
0.584822,-0.032170,0.017342,-0.005418,0.007798,0.015589,0.005861,8.000518,0.203675,0.123355,0.002925,0.599993,0.138494,1,7.944147,1.187579,0.235686,0.991899,1.000000,1,7.954968,1.130805,0.201634,0.006307,0.095769,0.095548,0.931543,0.025799,8.000010,0.058956,0.143212,0.146076,0.500177,,,,,,,,,,,7.966142,1.066554,0.130903,0.863597,0.500177,,,,,,,,,,,CTRV,-0.011750,8.035881,8.034849,0.128773,8.011545,1.044669,0.317495,0.012807,0.599863,0.138494,0.007048,-0.000150,0.000000,1.401794,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131860,0.023208,0.000000,0.000000,-0.595172,0.000000,0.000000,-1.000000,0.002087,-0.009344,0.001710,0,takeoff,,8.035881,0.599286,-0.010805,0,,,
0.634655,-0.032064,0.016951,-0.004996,0.007693,0.014871,0.005866,8.000701,0.236918,0.129680,0.003697,0.649989,0.123111,1,7.944147,1.187579,0.235686,0.958223,1.000000,1,7.955282,1.135586,0.206404,0.006307,0.095769,0.095548,0.903080,0.025529,8.000032,0.092158,0.152868,0.146606,0.500066,,,,,,,,,,,7.965329,1.071680,0.139654,0.835572,0.500066,,,,,,,,,,,CTRV,-0.012863,8.036905,8.035777,0.134676,8.014099,1.148006,0.302262,0.015416,0.649817,0.123111,0.008358,-0.000198,0.000000,1.401845,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131833,0.027391,0.000000,0.000000,-0.645172,0.000000,0.000000,-1.000000,-0.000312,-0.011058,-0.001682,0,takeoff,,8.036905,0.645862,-0.015354,0,,,
0.684722,-0.032113,0.016625,-0.004690,0.007581,0.014365,0.005819,8.000923,0.271783,0.135070,0.004594,0.699985,0.106969,1,7.933348,1.269352,0.263427,1.008061,1.000000,1,7.951139,1.166814,0.222146,0.000152,0.132274,0.110688,0.900634,0.025563,8.000072,0.127889,0.161634,0.146327,0.500047,,,,,,,,,,,7.966624,1.076485,0.147080,0.805522,0.500047,,,,,,,,,,,CTRV,-0.013937,8.038302,8.037087,0.139759,8.016950,1.252977,0.285031,0.018269,0.699762,0.106969,0.009752,-0.000255,0.000000,1.401915,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131827,0.031769,0.000000,0.000000,-0.695172,0.000000,0.000000,-1.000000,-0.004620,-0.014238,-0.000649,0,takeoff,,8.038302,0.693047,-0.020537,0,,,
0.734859,-0.032160,0.016058,-0.004237,0.007506,0.013536,0.005648,8.001210,0.311106,0.139917,0.005626,0.749979,0.090168,1,7.931396,1.296796,0.263629,0.995874,1.000000,1,7.947400,1.197401,0.234976,-0.005010,0.165303,0.120740,0.893001,0.025851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,-0.015277,8.040078,8.038786,0.144154,8.020356,1.362414,0.266333,0.021687,0.749686,0.090168,0.011453,-0.000331,0.000000,1.402004,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131819,0.036726,0.000000,0.000000,-0.745172,0.000000,0.000000,-1.000000,-0.003875,-0.014229,-0.001554,0,takeoff,,8.040078,0.741279,-0.026662,0,,,
0.784561,-0.032146,0.015567,-0.003870,0.007556,0.012864,0.005496,8.001542,0.351273,0.143685,0.006801,0.799971,0.072810,1,7.930394,1.324136,0.263914,0.982843,1.000000,1,7.944104,1.227724,0.245636,-0.009210,0.195722,0.127113,0.884229,0.025534,8.000138,0.166153,0.169425,0.186906,0.549698,,,,,,,,,,,7.966630,1.080539,0.160564,0.730297,0.549698,,,,,,,,,,,CTRV,-0.016378,8.042053,8.040699,0.147554,8.023955,1.472706,0.245773,0.025167,0.799604,0.072810,0.013096,-0.000412,0.000000,1.402103,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131813,0.041778,0.000000,0.000000,-0.795172,0.000000,0.000000,-1.000000,-0.001664,-0.016967,-0.005265,0,takeoff,,8.042053,0.789981,-0.033337,0,,,
0.834767,-0.032291,0.014803,-0.003287,0.007248,0.011904,0.005461,8.001949,0.394883,0.146657,0.008129,0.849961,0.055004,1,7.926335,1.351107,0.264066,0.966367,1.000000,1,7.940610,1.257956,0.254584,-0.013400,0.223955,0.130693,0.871955,0.025691,8.000688,0.250016,0.181704,0.149052,0.500115,,,,,,,,,,,7.968392,1.083283,0.164423,0.689446,0.500115,,,,,,,,,,,CTRV,-0.017682,8.044623,8.043226,0.149944,8.028122,1.586462,0.223786,0.029199,0.849498,0.055004,0.015021,-0.000516,0.000000,1.402231,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131818,0.047293,0.000000,0.000000,-0.845172,0.000000,0.000000,-1.000000,-0.007935,-0.012277,0.002023,0,takeoff,,8.044623,0.839520,-0.041399,0,,,
