time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.003388,-0.001447,0.021117,-0.023335,0.014727,0.007233,0.005070,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.994087,1.082013,0.109257,1.087531,1.000000,1,7.994019,1.095151,0.106249,0.008059,0.007192,0.000778,1.100309,0.025854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050920,0.000000,8.001509,8.001475,0.023335,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400075,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133449,0.083449,0.014727,0.007233,-0.045850,0.000000,0.000000,-1.000000,-0.005384,-0.024306,0.003014,0,takeoff,,8.001509,0.017173,0.014723,0,,,
0.052025,-0.000961,0.019572,-0.022490,0.014744,0.006096,0.005314,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.994693,1.079614,0.109943,1.085211,1.000000,1,7.994479,1.093125,0.106842,0.008145,0.003671,0.001595,1.098348,0.024883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049110,0.000000,8.001017,8.000985,0.022490,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400051,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133409,0.033449,0.000000,0.000000,-0.094960,-0.299884,-0.147272,-1.000000,-0.003940,-0.012693,0.004678,0,takeoff,,8.001017,0.016816,0.014744,0,,,
0.101893,-0.000640,0.018681,-0.021854,0.014624,0.005612,0.005535,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.994984,1.078646,0.110511,1.084304,1.000000,1,7.994919,1.091118,0.107463,0.008191,0.000425,0.002398,1.096409,0.024400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049991,0.000000,8.000691,8.000661,0.021854,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400035,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133409,-0.002335,0.000000,0.000000,-0.144951,0.000000,0.000000,-1.000000,-0.004557,-0.011064,0.004177,0,takeoff,,8.000691,0.016613,0.014626,0,,,
0.152074,-0.000198,0.017571,-0.020872,0.014434,0.005126,0.005798,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.995482,1.077297,0.111467,1.083058,1.000000,1,7.995368,1.089079,0.108167,0.008252,-0.002636,0.003264,1.094447,0.024863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050016,0.000000,8.000244,8.000217,0.020872,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400012,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133417,-0.002196,0.000000,0.000000,-0.194967,0.000000,0.000000,-1.000000,-0.004432,-0.009453,0.003726,0,takeoff,,8.000244,0.016378,0.014438,0,,,
0.201894,0.000059,0.017037,-0.020260,0.014312,0.004931,0.005840,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.995731,1.076702,0.111893,1.082509,1.000000,1,7.995790,1.087126,0.108865,0.008266,-0.005348,0.004061,1.092571,0.024709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050017,0.000000,7.999984,7.999959,0.020260,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399999,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133433,-0.002130,0.000000,0.000000,-0.244984,0.000000,0.000000,-1.000000,-0.005544,-0.004473,0.003651,0,takeoff,,7.999984,0.016225,0.014316,0,,,
0.251933,0.000457,0.016451,-0.019454,0.014091,0.004798,0.006111,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.996075,1.076094,0.112569,1.081973,1.000000,1,7.996202,1.085257,0.109594,0.008264,-0.007734,0.004845,1.090783,0.024833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049949,0.000000,7.999583,7.999560,0.019454,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399979,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133434,-0.002057,0.000000,0.000000,-0.294933,0.000000,0.000000,-1.000000,0.002096,0.000384,0.006165,0,takeoff,,7.999583,0.016091,0.014096,0,,,
0.301951,0.000761,0.016109,-0.018875,0.013977,0.004671,0.006483,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.996363,1.075756,0.113316,1.081714,1.000000,1,7.996596,1.083513,0.110358,0.008235,-0.009760,0.005624,1.089124,0.024573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050047,0.000000,7.999277,7.999255,0.018875,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399964,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133442,-0.002014,0.000000,0.000000,-0.344980,0.000000,0.000000,-1.000000,-0.002615,-0.003995,0.009340,0,takeoff,,7.999277,0.016100,0.013983,0,,,
0.351885,0.001363,0.015520,-0.017796,0.013973,0.004375,0.006624,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.996851,1.075345,0.114141,1.081390,1.000000,1,7.997002,1.081877,0.111165,0.008226,-0.011475,0.006410,1.087577,0.024907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049960,0.000000,7.998672,7.998652,0.017796,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399934,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133487,-0.001940,0.000000,0.000000,-0.394940,0.000000,0.000000,-1.000000,-0.000955,-0.000818,0.002503,0,takeoff,,7.998672,0.016071,0.013979,0,,,
0.402115,0.001763,0.015118,-0.017213,0.013965,0.004375,0.006793,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.997204,1.075227,0.114658,1.081326,1.000000,1,7.997401,1.080387,0.111965,0.008207,-0.012840,0.007124,1.086177,0.024781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050073,0.000000,7.998270,7.998251,0.017213,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399913,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133486,-0.001890,0.000000,0.000000,-0.445013,0.000000,0.000000,-1.000000,0.001081,-0.000815,0.004304,0,takeoff,,7.998270,0.016134,0.013971,0,,,
0.451942,0.002278,0.014439,-0.016700,0.013917,0.003766,0.006870,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.997761,1.074655,0.115387,1.080834,1.000000,1,7.997821,1.078974,0.112784,0.008222,-0.013992,0.007816,1.084855,0.024857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049914,0.000000,7.997753,7.997736,0.016700,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399888,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133491,-0.001805,0.000000,0.000000,-0.494927,0.000000,0.000000,-1.000000,-0.003777,-0.013232,0.000804,0,takeoff,,7.997753,0.015971,0.013925,0,,,
0.502069,0.002539,0.013782,-0.016415,0.013777,0.003309,0.007017,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.998106,1.074180,0.115529,1.080376,1.000000,1,7.998231,1.077647,0.113536,0.008220,-0.014928,0.008354,1.083612,0.024736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050089,0.000000,7.997490,7.997473,0.016415,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399875,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133483,-0.001723,0.000000,0.000000,-0.545016,0.000000,0.000000,-1.000000,-0.002307,-0.010122,0.005676,0,takeoff,,7.997490,0.015811,0.013786,0,,,
