time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,minco_constraint_penalty,minco_optimization_iterations,minco_piece_durations,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.037170,-0.039085,-0.059632,-0.095682,-0.009451,-0.018698,-0.004494,8.000000,0.000269,0.008535,0.000000,0.007415,0.235603,1,7.955064,1.013301,0.032153,1.014304,1.000000,1,7.956051,1.008942,0.033886,0.001196,-0.024048,-0.005938,1.009949,0.026437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049957,0.000000,8.039983,8.039308,0.104217,8.000000,0.010665,0.338851,0.000000,0.007415,0.235603,0.000000,0.000000,0.000000,1.401999,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135182,0.085182,0.000000,0.000000,-0.054451,0.189173,0.374288,-1.000000,-0.002316,0.017617,-0.007873,0,takeoff,,8.039983,0.241698,-0.012756,0,,,
0.087308,-0.039338,-0.059218,-0.096567,-0.009418,-0.017840,-0.004597,8.000000,0.004577,0.020271,0.000004,0.057378,0.234663,1,7.953081,1.013450,0.031531,1.010026,1.000000,1,7.955598,1.008654,0.033224,0.000451,-0.022722,-0.006469,1.005142,0.026901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050153,0.000000,8.040440,8.039591,0.116838,8.000006,0.085023,0.349274,0.000004,0.057378,0.234663,0.000000,0.000000,0.000000,1.402022,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135176,0.035182,0.000000,0.000000,-0.104605,0.000000,0.000000,-1.000000,0.001427,0.016180,-0.000908,0,takeoff,,8.040440,0.250982,-0.013495,0,,,
0.137177,-0.039399,-0.058956,-0.097266,-0.009395,-0.017397,-0.004934,8.000002,0.011405,0.031919,0.000022,0.107363,0.232277,1,7.945904,1.026758,0.058074,1.017130,1.000000,1,7.954014,1.010645,0.037050,-0.001881,-0.018184,-0.000446,1.000311,0.026762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049882,0.000000,8.040746,8.039708,0.129186,8.000033,0.161931,0.357580,0.000022,0.107363,0.232277,0.000000,0.000000,0.000000,1.402037,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135177,0.008754,0.000000,0.000000,-0.154487,0.000000,0.000000,-1.000000,-0.000527,0.008020,-0.013794,0,takeoff,,8.040746,0.268184,-0.014319,0,,,
0.187158,-0.039428,-0.058616,-0.098487,-0.009286,-0.016700,-0.005159,8.000005,0.020654,0.043230,0.000064,0.157392,0.228455,1,7.950746,1.027692,0.056947,1.008336,1.000000,1,7.953401,1.012597,0.040250,-0.002635,-0.014020,0.004240,0.993042,0.026247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049967,0.000000,8.041073,8.039824,0.141717,8.000094,0.241325,0.363536,0.000064,0.157392,0.228455,0.000000,0.000000,0.000000,1.402054,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135174,0.009863,0.000000,0.000000,-0.204454,0.000000,0.000000,-1.000000,0.003091,0.007511,-0.005084,0,takeoff,,8.041073,0.291498,-0.015181,0,,,
0.237188,-0.039562,-0.058390,-0.099199,-0.009308,-0.016303,-0.005421,8.000013,0.032536,0.054469,0.000138,0.207418,0.223224,1,7.946854,1.027466,0.083142,0.996761,1.000000,1,7.952246,1.014331,0.047239,-0.004124,-0.010476,0.014104,0.982983,0.026568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050055,0.000000,8.041558,8.040089,0.153669,8.000206,0.323353,0.367446,0.000138,0.207418,0.223224,0.000000,0.000000,0.000000,1.402078,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135175,0.011314,0.000000,0.000000,-0.254508,0.000000,0.000000,-1.000000,-0.003376,0.010325,-0.005838,0,takeoff,,8.041558,0.320030,-0.016342,0,,,
0.287078,-0.040054,-0.058031,-0.100145,-0.009548,-0.015657,-0.005640,8.000027,0.046829,0.065261,0.000254,0.257398,0.216621,1,7.946854,1.027466,0.083142,0.982240,1.000000,1,7.952040,1.013808,0.047943,-0.004124,-0.010476,0.014104,0.968323,0.026005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006424,0.000000,0.199672,0.049973,0.000000,8.042466,8.040765,0.165406,8.000382,0.407734,0.368991,0.000254,0.257398,0.216621,0.000000,0.000000,0.000000,1.402123,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135167,0.013045,0.000000,0.000000,-0.304481,0.000000,0.000000,-1.000000,-0.003611,0.013505,-0.001479,0,takeoff,,8.042466,0.352216,-0.017930,0,,,
0.337349,-0.040472,-0.057760,-0.100761,-0.009742,-0.015164,-0.005913,8.000050,0.063708,0.075714,0.000421,0.307398,0.208681,1,7.941816,1.055373,0.094972,0.993560,1.000000,1,7.950053,1.020694,0.056872,-0.006715,0.000304,0.026065,0.958477,0.026555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006743,-0.005105,0.360088,0.050113,0.000000,8.043375,8.041439,0.176475,8.000640,0.494732,0.368320,0.000421,0.307398,0.208681,0.000000,0.000000,0.000000,1.402169,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135171,0.015113,0.000000,0.000000,-0.354594,0.000000,0.000000,-1.000000,-0.004204,0.012704,-0.009282,0,takeoff,,8.043375,0.387557,-0.019739,0,,,
0.387392,-0.041081,-0.057226,-0.101636,-0.010069,-0.014560,-0.006294,8.000086,0.083195,0.085633,0.000649,0.357401,0.199454,1,7.940434,1.069848,0.107373,0.988693,1.000000,1,7.948115,1.029103,0.066642,-0.009042,0.012497,0.038366,0.947525,0.026722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007288,-0.008984,0.487844,0.049994,0.000000,8.044574,8.042394,0.187269,8.008169,0.900545,0.365313,0.012952,0.725091,0.199454,0.012340,0.119832,0.000000,1.402229,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135181,0.017470,0.000000,0.000000,-0.404588,0.000000,0.000000,-1.000000,-0.005074,0.012762,-0.006502,0,takeoff,,8.044574,0.425208,-0.021995,0,,,
0.437347,-0.041501,-0.056906,-0.102087,-0.010484,-0.014153,-0.006470,8.000137,0.104918,0.094986,0.000947,0.407385,0.189001,1,7.940434,1.069848,0.107373,0.966854,1.000000,1,7.947663,1.029728,0.068561,-0.009042,0.012497,0.038366,0.926674,0.026615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008001,-0.012014,0.589336,0.049890,0.000000,8.045680,8.043266,0.197073,8.011392,1.058164,0.360018,0.018168,0.851524,0.189001,0.017619,0.144654,0.000000,1.402284,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135179,0.020131,0.000000,0.000000,-0.454478,0.000000,0.000000,-1.000000,-0.009987,0.009056,-0.002022,0,takeoff,,8.045680,0.464794,-0.024692,0,,,
0.487425,-0.042101,-0.056441,-0.102675,-0.010878,-0.013683,-0.006450,8.000209,0.129429,0.103881,0.001326,0.457451,0.177363,1,7.933264,1.111767,0.133230,0.985054,1.000000,1,7.944571,1.045650,0.082351,-0.012856,0.034594,0.055516,0.918161,0.026842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008876,-0.015098,0.672646,0.050062,0.000000,8.047109,8.044457,0.206557,8.015199,1.206915,0.352607,0.024241,0.964304,0.177363,0.023695,0.164939,0.000000,1.402355,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135162,0.023119,0.000000,0.000000,-0.504540,0.000000,0.000000,-1.000000,-0.005088,0.007076,0.002543,0,takeoff,,8.047109,0.505869,-0.027797,0,,,
