time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,sim_dt,wall_dt,callback_compute_time,prediction_compute_time,planner_compute_time,minco_generation_compute_time,minco_optimization_compute_time,guidance_compute_time,safety_compute_time,logging_compute_time,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,t_horizontal_min,t_vertical_min,t_sea_safe_min,planner_search_min_time,planner_search_max_time,planner_failure_reason,guidance_phase,sea_safety_state,sea_safety_margin,trajectory_plan_feasible,planner_attempted,planner_succeeded,minco_optimization_attempted,minco_optimization_succeeded,plan_hold_active,trajectory_planner,minco_target_curve_weight,minco_constraint_penalty,minco_optimization_iterations,minco_piece_durations,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.046132,0.031519,0.012554,0.007186,0.004605,-0.003927,0.005962,8.000000,0.000549,0.010677,0.000000,0.012108,0.235577,1,8.026724,1.075127,0.136829,1.082288,1.000000,1,8.024922,1.073428,0.139170,-0.005518,-0.005744,0.001540,1.080834,0.027533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050001,0.050001,0.050007,0.000438,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.968491,7.968490,0.003491,8.000000,0.017481,0.340114,0.000000,0.012108,0.235577,0.000000,0.000000,0.000000,1.398425,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133824,0.083824,0.000000,0.000000,-0.044039,-0.092101,0.078538,-1.000000,0.011956,-0.003259,-0.000900,0,takeoff,,7.968491,0.230220,0.004529,0,,,
0.096221,0.031908,0.012038,0.006869,0.004897,-0.004090,0.005754,8.000000,0.005314,0.022394,0.000005,0.062130,0.234498,1,8.025425,1.074249,0.136560,1.075314,1.000000,1,8.024976,1.073455,0.138841,-0.005055,-0.005304,0.000970,1.074759,0.027714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050005,0.050005,0.049998,0.000793,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000247,0.000000,7.968111,7.968095,0.015526,8.000007,0.092197,0.350318,0.000005,0.062130,0.234498,0.000000,0.000000,0.000000,1.398406,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133825,0.033824,0.000000,0.000000,-0.094044,0.000000,0.000000,-1.000000,0.005626,-0.003969,-0.003071,0,takeoff,,7.968111,0.238187,0.004502,0,,,
0.146035,0.032542,0.011218,0.006240,0.005260,-0.004534,0.005623,8.000002,0.012468,0.033753,0.000025,0.112103,0.231976,1,8.017013,1.086355,0.163380,1.081816,1.000000,1,8.024818,1.073343,0.138507,-0.004922,-0.005089,0.000434,1.066323,0.027625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049921,0.049921,0.049929,0.000723,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000151,0.000000,7.967508,7.967460,0.027513,8.000036,0.169230,0.358142,0.000025,0.112103,0.231976,0.000000,0.000000,0.000000,1.398375,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133809,0.000159,0.000000,0.000000,-0.143965,0.000000,0.000000,-1.000000,0.005375,-0.008527,-0.000010,0,takeoff,,7.967508,0.254690,0.004435,0,,,
0.196134,0.033011,0.010793,0.005821,0.005582,-0.004777,0.005528,8.000006,0.022350,0.045373,0.000069,0.162027,0.228029,1,8.025616,1.086794,0.162398,1.071164,1.000000,1,8.023327,1.075215,0.142556,-0.006667,-0.002106,0.006080,1.057598,0.027279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050046,0.050046,0.050040,0.000746,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000241,0.000000,7.967101,7.967003,0.039552,8.000102,0.248922,0.364239,0.000069,0.162027,0.228029,0.000000,0.000000,0.000000,1.398355,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133822,0.001454,0.000000,0.000000,-0.194011,0.000000,0.000000,-1.000000,0.007007,-0.005016,-0.002196,0,takeoff,,7.967101,0.278138,0.004167,0,,,
0.246304,0.033541,0.010443,0.005374,0.005947,-0.004786,0.005438,8.000014,0.034628,0.056474,0.000146,0.212090,0.222664,1,8.025616,1.086794,0.162398,1.057795,1.000000,1,8.023383,1.076956,0.145984,-0.006122,0.000483,0.010463,1.046425,0.027735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050079,0.050079,0.050070,0.000767,0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000210,0.000000,7.966674,7.966510,0.051100,8.000219,0.331201,0.367833,0.000146,0.212090,0.222664,0.000000,0.000000,0.000000,1.398334,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133823,0.003042,0.000000,0.000000,-0.244090,0.000000,0.000000,-1.000000,0.008617,-0.000779,-0.002215,0,takeoff,,7.966674,0.307012,0.003749,0,,,
0.296249,0.034290,0.010050,0.004563,0.006395,-0.004560,0.005140,8.000029,0.049187,0.067046,0.000266,0.262097,0.215931,1,8.025616,1.086794,0.162398,1.042294,1.000000,1,8.023077,1.076980,0.146508,-0.006122,0.000483,0.010463,1.031118,0.027344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006449,0.000000,0.196843,0.049976,0.049976,0.049985,0.000912,0.000064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000252,0.000000,7.966081,7.965836,0.062482,8.000402,0.415678,0.368984,0.000266,0.262097,0.215931,0.000000,0.000000,0.000000,1.398304,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133815,0.004919,0.000000,0.000000,-0.294066,0.000000,0.000000,-1.000000,0.004326,0.004672,-0.003200,0,takeoff,,7.966081,0.339965,0.003165,0,,,
0.346800,0.034784,0.009790,0.003951,0.006627,-0.004376,0.004922,8.000054,0.066692,0.077565,0.000439,0.312163,0.207856,1,8.019615,1.112524,0.214841,1.054984,1.000000,1,8.022771,1.077004,0.147030,-0.006122,0.000483,0.010463,1.012952,0.028331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006789,-0.005449,0.357702,0.050163,0.050163,0.050158,0.000860,0.000164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000238,0.000000,7.965814,7.965474,0.073614,8.000669,0.503187,0.368209,0.000439,0.312163,0.207856,0.000000,0.000000,0.000000,1.398291,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133797,0.007158,0.000000,0.000000,-0.344229,0.000000,0.000000,-1.000000,0.007350,0.008959,-0.005809,0,takeoff,,7.965814,0.376056,0.002051,0,,,
0.396300,0.035503,0.009331,0.003046,0.007193,-0.004445,0.004720,8.000094,0.086668,0.087386,0.000673,0.362118,0.198519,1,8.015126,1.125159,0.214153,1.046308,1.000000,1,8.021869,1.084073,0.160957,-0.006950,0.010280,0.029101,1.000352,0.027601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007373,-0.009657,0.487734,0.049830,0.049830,0.049836,0.001559,0.000295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000464,0.000000,7.965413,7.964966,0.084340,8.008422,0.907670,0.364969,0.013420,0.729241,0.198519,0.012896,0.120265,0.000000,1.398271,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133774,0.009718,0.000000,0.000000,-0.394059,0.000000,0.000000,-1.000000,0.008917,-0.004118,-0.001788,0,takeoff,,7.965413,0.414691,0.000908,0,,,
0.446253,0.036055,0.008905,0.002430,0.007638,-0.004467,0.004536,8.000148,0.108994,0.096703,0.000979,0.412100,0.187953,1,8.021004,1.139667,0.213476,1.037477,1.000000,1,8.020289,1.092246,0.172254,-0.008658,0.020892,0.042739,0.986357,0.027606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008121,-0.012718,0.591385,0.050061,0.050061,0.050066,0.001172,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000495,0.000000,7.965280,7.964722,0.094274,8.011738,1.066729,0.359512,0.018806,0.857186,0.187953,0.018374,0.145719,0.000000,1.398264,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133771,0.012575,0.000000,0.000000,-0.444120,0.000000,0.000000,-1.000000,0.006497,-0.002282,-0.007635,0,takeoff,,7.965280,0.455209,-0.000747,0,,,
0.496304,0.036394,0.008584,0.002092,0.007737,-0.004638,0.004389,8.000223,0.133738,0.105399,0.001364,0.462084,0.176229,1,8.013244,1.166224,0.240204,1.041330,1.000000,1,8.020022,1.101690,0.181586,-0.008429,0.032501,0.052683,0.971147,0.027687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008972,-0.014810,0.672645,0.049910,0.049910,0.049902,0.000968,0.000295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000428,0.000000,7.965482,7.964812,0.103307,8.015251,1.213766,0.351816,0.024264,0.968260,0.176229,0.023648,0.165618,0.000000,1.398274,nan,0.000000,nan,nan,nan,nan,nan,NONE,FOLLOW,SAFE,inf,0,0,0,0,0,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.133785,0.015725,0.000000,0.000000,-0.494030,0.000000,0.000000,-1.000000,0.002586,-0.006779,-0.000777,0,takeoff,,7.965482,0.497392,-0.003190,0,,,
