measurement_stamp,valid,truth_available,geometry_diagnostics_enabled,gazebo_entity_available,rejection_reason,image_clock_status,image_clock_reset_count,gazebo_entity_clock_status,gazebo_entity_clock_reset_count,gazebo_entity_raw_stamp,gazebo_entity_mapped_stamp,rgb_depth_acquisition_skew,observation_age,depth_median,depth_mad,valid_depth_count,red_pixel_count,target_range,view_angle,projection_centroid_u,projection_centroid_v,mask_centroid_u,mask_centroid_v,camera_fx,camera_fy,camera_cx,camera_cy,camera_pitch_down,target_reference_z_offset,position_x,position_y,position_z,truth_x,truth_y,truth_z,truth_velocity_x,truth_velocity_y,truth_velocity_z,gazebo_entity_center_x,gazebo_entity_center_y,gazebo_entity_center_z,gazebo_entity_reference_x,gazebo_entity_reference_y,gazebo_entity_reference_z,error_x,error_y,error_z,entity_to_truth_x,entity_to_truth_y,entity_to_truth_z,vision_to_entity_x,vision_to_entity_y,vision_to_entity_z,interpolated_uav_x,interpolated_uav_y,interpolated_uav_z,uav_velocity_latest_x,uav_velocity_latest_y,uav_velocity_latest_z,center_camera_x,center_camera_y,center_camera_z,target_body_flu_x,target_body_flu_y,target_body_flu_z,camera_center_error_x,camera_center_error_y,camera_center_error_z,body_flu_error_x,body_flu_error_y,body_flu_error_z,projection_error_u,projection_error_v,entity_expected_projection_u,entity_expected_projection_v,error_3d,entity_to_truth_3d,vision_to_entity_3d,camera_center_error_3d,body_flu_error_3d
1790147772.4944608,True,False,True,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.9293622970581055,5.3135528564453125,0.05527544021606445,532,532,6.714308738708496,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,7.999510319841571,0.26166711903268003,0.310864110235559,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0011094053375924,-0.007814123081371712,-4.997527186939237,0.0018843740690499544,0.003949437290430069,-0.0006176909664645791,5.5635528564453125,-0.247298156712832,-3.750688710144619,5.0121614833118375,-0.247298156712832,-4.87545712760881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1790147772.5944567,True,True,True,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.8297097682952881,5.316967487335205,0.05593585968017578,523,523,6.7184295654296875,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,7.99751021985938,0.2635668285197761,0.31661375346405324,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-0.00248978014062029,0.2635668285197761,0.31661375346405324,nan,nan,nan,nan,nan,nan,2.998990357256109,-0.006640263965660961,-4.997509543102888,0.0018843740690499544,0.003949437290430069,-0.0006176909664645791,5.566967487335205,-0.2474499359709273,-3.7529906955590637,5.015022885193935,-0.2474499359709273,-4.878418752202111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4119683737663826,nan,nan,nan,nan
1790147772.6944525,True,True,True,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.7299563884735107,5.317694664001465,0.05470895767211914,527,527,6.7193074226379395,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,7.99508676991335,0.2652769718291936,0.3188944732059778,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-0.004913230086650344,0.2652769718291936,0.3188944732059778,nan,nan,nan,nan,nan,nan,2.998117274750982,-0.005471737090515492,-4.9980360866652855,0.0018843740690499544,0.003949437290430069,-0.0006176909664645791,5.567694664001465,-0.24748225874269034,-3.753480924264137,5.015632246717494,-0.24748225874269034,-4.879049457062437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.41483695189082326,nan,nan,nan,nan
1790147772.794455,True,True,True,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.6301121711730957,5.318381071090698,0.05458378791809082,526,526,6.708635330200195,0.5916315317153931,332.0,421.0,332.0,421.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,7.999330596570013,0.26660404934124443,0.2997003406689949,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-0.0006694034299865592,0.26660404934124443,0.2997003406689949,nan,nan,nan,nan,nan,nan,2.9981117837254145,-0.003965648860789017,-4.998381979711438,0.0018843740690499544,0.003949437290430069,-0.0006176909664645791,5.568381071090698,-0.24751276931970867,-3.7333176039056055,5.020495853782705,-0.24751276931970867,-4.859469468071425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40112150456340834,nan,nan,nan,nan
1790147772.8944588,True,True,True,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.5893294811248779,5.318814277648926,0.05521702766418457,526,526,6.709157466888428,0.5916315317153931,332.0,421.0,332.0,421.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.000879686820323,0.26809453639331304,0.2994152335559735,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0008796868203226893,0.26809453639331304,0.2994152335559735,nan,nan,nan,nan,nan,nan,2.998842140026768,-0.0023603092976141596,-4.998581688954258,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.568814277648926,-0.24753202521357537,-3.733608046971429,5.0208592070461044,-0.24753202521357537,-4.859843633145361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4019016501312547,nan,nan,nan,nan
1790147772.9944532,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.4899106025695801,5.318863868713379,0.05615568161010742,531,531,6.7207183837890625,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,7.999317522931376,0.26910698774052527,0.3176367621476484,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,-0.00068247706862401,0.26910698774052527,0.3176367621476484,0.0,0.0,0.0,-0.00068247706862401,0.26910698774052527,0.3176367621476484,2.999926134619452,-0.0010509192586156033,-4.9988711809957636,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.568863868713379,-0.2475342295206333,-3.7542691477296053,5.0166120201311095,-0.2475342295206333,-4.880063547762448,0.06700921549350092,-0.26812065661618983,-0.311341015332093,0.0008133104695859927,-0.26812065661618983,-0.3184694668491055,13.010146702991449,13.060412502149575,318.98985329700855,408.9395874978504,0.41630775790678004,0.0,0.41630775790678004,0.4163077579067796,0.4163077579067801
1790147773.094454,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.3902623653411865,5.317233085632324,0.05634331703186035,534,534,6.71875,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.001828895230918,0.26967258586751713,0.31330809507930996,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.001828895230918448,0.26967258586751713,0.31330809507930996,0.0,0.0,0.0,0.001828895230918448,0.26967258586751713,0.31330809507930996,3.0014903354053604,-0.00013711196635414195,-4.999437397433442,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.567233085632324,-0.24746174173084337,-3.753169749584458,5.015245451993032,-0.24746174173084337,-4.878649114567489,0.06835996513986231,-0.26864070278821983,-0.306671972700463,0.0031052936426094746,-0.26864070278821983,-0.3141832917666205,13.039784976056012,12.793559764049917,318.960215023944,409.2064402359501,0.4133867570066378,0.0,0.4133867570066378,0.41338675700663824,0.41338675700663763
1790147773.194456,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.29064464569091797,5.313275098800659,0.05540966987609863,530,530,6.713973522186279,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.003333724595617,0.26916583338147365,0.30680939506358845,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.0033337245956168715,0.26916583338147365,0.30680939506358845,0.0,0.0,0.0,0.0033337245956168715,0.26916583338147365,0.30680939506358845,3.003768200381142,0.000436496756130362,-4.999952532175047,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.563275098800659,-0.24728581047378154,-3.7505014588523533,5.011928727188904,-0.24728581047378154,-4.875216219031014,0.06823991601947643,-0.26811962266203715,-0.3000808995656499,0.004358232213027335,-0.26811962266203715,-0.3077112903915813,13.023554218568108,12.482655436292248,318.9764457814319,409.51734456370775,0.40815850411195376,0.0,0.40815850411195376,0.40815850411195403,0.408158504111954
1790147773.2944555,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.19088506698608398,5.3102381229400635,0.055663347244262695,530,530,6.71030855178833,0.5941736102104187,332.0,422.0,332.0,422.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.006062976502948,0.26760364251914043,0.3009025188862218,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.006062976502947848,0.26760364251914043,0.3009025188862218,0.0,0.0,0.0,0.006062976502947848,0.26760364251914043,0.3009025188862218,3.0062846011735007,0.0005749676072342181,-5.000488490543347,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.5602381229400635,-0.24715081786174287,-3.7484540709031,5.0093837937177295,-0.24715081786174287,-4.872582147388123,0.06942132237851784,-0.266576325408198,-0.2937831475369901,0.006823201177936333,-0.266576325408198,-0.30179678875562654,12.955098155031635,12.143443240404451,319.04490184496836,409.85655675959555,0.4027291832555226,0.0,0.4027291832555226,0.40272918325552276,0.4027291832555226
1790147773.394462,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,239.968,1790147773.4104652,0.04800000000000182,0.09105682373046875,5.3090739250183105,0.05695343017578125,535,535,6.720427989959717,0.5967070460319519,332.0,423.0,332.0,423.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.006565086329811,0.2651424960782065,0.3163556871261593,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.00656508632981101,0.2651424960782065,0.3163556871261593,0.0,0.0,0.0,0.00656508632981101,0.2651424960782065,0.3163556871261593,3.0090066793360744,-0.00010530278103055394,-5.001119607082059,0.00266939215362072,0.002428581705316901,-0.0002086452441290021,5.5590739250183105,-0.24709906963403172,-3.7682608119189838,5.0041269739295515,-0.24709906963403172,-4.891714010658226,0.07288393496195145,-0.26408710145758585,-0.30882114440296293,0.007083564457112779,-0.26408710145758585,-0.31722608707430666,12.835958672532286,12.765530097928831,319.1640413274677,410.23446990207117,0.4128251014196739,0.0,0.4128251014196739,0.41282510141967255,0.41282510141967255
1790147773.494464,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,240.128,1790147773.570456,0.04800000000000182,0.07953095436096191,5.304736375808716,0.05621933937072754,536,536,6.715184211730957,0.5967070460319519,332.0,423.0,332.0,423.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.00895619242092,0.26138820690897935,0.3092604491349063,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.008956192420919606,0.26138820690897935,0.3092604491349063,0.0,0.0,0.0,0.008956192420919606,0.26138820690897935,0.3092604491349063,3.0120150135534134,-0.0011682261044134107,-5.001494234074169,0.0034339118283241987,0.0008910346659831703,0.0005666082724928856,5.554736375808716,-0.24690626694987255,-3.7653205709855566,5.000495522891228,-0.24690626694987255,-4.8879361920749,0.07346998654867676,-0.2604271669997307,-0.3013733320284464,0.009205300182513199,-0.2604271669997307,-0.31006287528490173,12.665943337441831,12.39060443260189,319.33405666255817,410.6093955673981,0.4050259664427651,0.0,0.4050259664427651,0.4050259664427659,0.4050259664427656
1790147773.5424478,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,240.248,1790147773.6904519,0.0519999999999925,0.15140795707702637,5.302610397338867,0.056258201599121094,535,535,6.712614059448242,0.5967070460319519,332.0,423.0,332.0,423.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.010348555925205,0.2593290112929324,0.30609953159805775,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.010348555925205005,0.2593290112929324,0.30609953159805775,0.0,0.0,0.0,0.010348555925205005,0.2593290112929324,0.30609953159805775,3.0138008091556285,-0.0017150760695177295,-5.00146252504059,0.004829535726457834,-0.001135463360697031,0.0014262322802096605,5.552610397338867,-0.24681176788239345,-3.7638794602065,4.998715626837321,-0.24681176788239345,-4.886084556373943,0.07404957930922862,-0.2584307335010899,-0.2979694073871886,0.010479944749890002,-0.2584307335010899,-0.3068538392990794,12.572550191987943,12.209627493739958,319.42744980801206,410.79037250626004,0.40131727093716923,0.0,0.40131727093716923,0.4013172709371694,0.4013172709371693
1790147773.6424518,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,240.328,1790147773.7704542,0.05200000000002092,0.14155197143554688,5.2991790771484375,0.05584144592285156,529,529,6.708466053009033,0.5967070460319519,332.0,423.0,332.0,423.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.014527581691645,0.25501461147201293,0.30077359059903325,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.014527581691645253,0.25501461147201293,0.30077359059903325,0.0,0.0,0.0,0.014527581691645253,0.25501461147201293,0.30077359059903325,3.017940787966919,-0.003054962131510787,-5.000971402485584,0.005274430848658085,-0.0021222110372036695,0.0015193085419014096,5.5491790771484375,-0.24665924679019213,-3.7615535135504303,4.995842882191384,-0.24665924679019213,-4.883096024243386,0.07678081529829495,-0.2542405477683955,-0.2918470588654598,0.014424407167408226,-0.2542405477683955,-0.30143313660604587,12.374006049925924,11.830010937426437,319.6259939500741,411.16998906257356,0.3945988538957811,0.0,0.3945988538957811,0.3945988538957809,0.3945988538957812
1790147773.7424572,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,240.428,1790147773.8704681,0.0519999999999925,0.1318511962890625,5.298595428466797,0.05785655975341797,529,529,6.719305992126465,0.5992318391799927,332.0,424.0,332.0,424.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.016750208013447,0.2512716013451531,0.3180590222333964,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.01675020801344651,0.2512716013451531,0.3180590222333964,0.0,0.0,0.0,0.01675020801344651,0.2512716013451531,0.3180590222333964,3.0219694601165714,-0.004200595751249995,-5.0004101098845,0.004976624622941017,-0.0025501479394733906,0.0013741482980549335,5.548595428466797,-0.246633303791741,-3.7817106581400286,4.9910810720230705,-0.246633303791741,-4.902691337144957,0.08231562518778723,-0.25059541634157134,-0.30822979073031576,0.01643209828722192,-0.25059541634157134,-0.3186086191388888,12.195680493575935,12.452008363450545,319.80431950642406,411.54799163654945,0.40568402573322426,0.0,0.40568402573322426,0.40568402573322504,0.40568402573322493
1790147773.8944616,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,240.548,1790147773.9904525,0.04800000000000182,0.09953069686889648,5.2944746017456055,0.05608558654785156,535,535,6.714315891265869,0.5992318391799927,332.0,424.0,332.0,424.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.02276418356072,0.24661529188316444,0.31003062444662094,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.022764183560720852,0.24661529188316444,0.31003062444662094,0.0,0.0,0.0,0.022764183560720852,0.24661529188316444,0.31003062444662094,3.0266460330787828,-0.00555259197508012,-5.000112987266418,0.0033641234040260315,-0.0021563360933214426,0.0005639955634251237,5.5444746017456055,-0.24645013435333024,-3.7789020600843974,4.987634237388364,-0.24645013435333024,-4.899087343956122,0.08620538884714968,-0.2461471441419865,-0.2990593798947314,0.0221435008974451,-0.2461471441419865,-0.3104473339188383,11.98501398264915,11.885585635980192,320.01498601735085,412.1144143640198,0.39680763392173585,0.0,0.39680763392173585,0.39680763392173474,0.39680763392173507
1790147773.994463,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,240.628,1790147774.0704565,0.04800000000000182,0.08957171440124512,5.2923264503479,0.05610060691833496,538,538,6.711714267730713,0.5992318391799927,332.0,424.0,332.0,424.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,8.025446230510893,0.2456340507643376,0.30559138782249834,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,8.0,0.0,0.0,0.025446230510892676,0.2456340507643376,0.30559138782249834,0.0,0.0,0.0,0.025446230510892676,0.2456340507643376,0.30559138782249834,3.0287996096355623,-0.006038681100593499,-5.000317033309667,0.0008878773078322411,-0.0012338549131527543,0.0002824793918989599,5.5423264503479,-0.24635464970625315,-3.7774379621625482,4.985837432247268,-0.24635464970625315,-4.8972086134173916,0.08779333088674512,-0.2452368243512905,-0.2941443946215796,0.02471862768493338,-0.2452368243512905,-0.30596990584183104,11.944674040011705,11.596896340133071,320.0553259599883,412.40310365986693,0.3928990886390439,0.0,0.3928990886390439,0.39289908863904327,0.39289908863904355
